,기관주소,기관명,lon,lat
54,"경기도 수원시 장안구 수성로258번길 3, 105호 (영화동, 메가플러스)",그린약국,127.0010375201,37.2895741575
55,경기도 수원시 장안구 경수대로 1077 (파장동),그린팜중앙약국,126.99428316312239,37.30906163516444
56,"경기도 수원시 팔달구 동말로25번길 108, 104호 (화서동)",그린프라자약국,126.99462054078909,37.282249896877616
57,"경기도 수원시 권선구 세화로168번길 16, 101호 (서둔동,탑빌딩)",금강약국,126.99439121469737,37.26670381827285
58,"경기도 수원시 권선구 금곡로73번길 71, 101호 (금곡동, 엘지빌리지 종합상가)",금곡엘지약국,126.93749351375553,37.273662164753496
59,"경기도 수원시 권선구 금곡로102번길 30, 3층 301호 (금곡동)",금곡온누리약국,126.94114503224574,37.27286146740305
60,"경기도 수원시 영통구 영통로90번길 4-8, 2층 (망포동)",금당한약국,127.06028351282411,37.237514618800745
61,경기도 수원시 권선구 매실로 70 (호매실동),금호약국,126.95853557222497,37.26830871842364
62,"경기도 수원시 영통구 영통로153번길 98, 국제프라자 1층 103호 (망포동)",기린약국,127.0499450711,37.2414119482
63,경기도 수원시 팔달구 세지로 393,길약국,127.0282111214902,37.28509434738219
64,"경기도 수원시 팔달구 권광로 208, 1층 101호 (인계동)",꿈나무약국,127.03431781628133,37.26630793851551
65,"경기도 수원시 팔달구 중부대로 43, 1층 (지동)",나눔약국,127.0217838812,37.275559194
66,경기도 수원시 권선구 권선로 639 (권선동),나눔온누리약국,127.02155645741131,37.26085242268352
67,"경기도 수원시 권선구 상탑로 52, 101동 (탑동)",나래약국,126.97683280756571,37.27139611010391
68,"경기도 수원시 팔달구 매산로 11, 1층 (매산로1가, 케이빌딩)",나무약국,127.0027238204,37.2674445894
69,"경기도 수원시 장안구 정조로934번길 35-2, (영화동)",나약국,127.01447161571644,37.291905151247775
70,경기도 수원시 영통구 효원로 363,나은약국,127.0418917840954,37.259479486866965
71,경기도 수원시 권선구 동수원로242번길 20 (권선동),남도약국,127.03558656755365,37.25041675628963
72,경기도 수원시 팔달구 정조로 788 (팔달로2가),남문로약국,127.01700828755641,37.27833157607088
73,"경기도 수원시 권선구 세지로82번길 47, 1층 (권선동)",남수원약국,127.02051643414586,37.258482864810155
74,경기도 수원시 권선구 덕영대로1201번길 8 (권선동),남수원큰사랑약국,127.02253137328859,37.2496451879207
75,"경기도 수원시 영통구 봉영로 1569, 304-1호 (영통동, 뉴월드프라자)",네오메디칼약국,127.0711942067069,37.251994475363915
76,"경기도 수원시 영통구 동탄지성로 550-24, 플래티넘베이스 B동 105호 (망포동)",네이처약국,127.049358149295,37.2409406771349
77,"경기도 수원시 영통구 도청로89번길 23, 1층 103호 (이의동)",늘봄약국,127.06775805017412,37.292553775992346
78,경기도 수원시 권선구 매송고색로 755 (고색동) ,늘열린약국,126.98695613830813,37.2528542178785
79,경기도 수원시 팔달구 중부대로223번길 65 (우만동),늘푸른약국,127.0409897387,37.2788158671
80,"경기도 수원시 권선구 세권로 122, 1층 (세류동)",늘푸른약국,127.01747696981822,37.25714261376018
81,경기도 수원시 팔달구 경수대로533번길 7,다나약국,127.02847763562751,37.27353223492081
82,"경기도 수원시 장안구 정자로 164, 하모니마트 나동 1층 (정자동)",다나은약국,126.99248753953188,37.30704681949261
83,"경기도 수원시 영통구 중부대로 240, (매탄동)",다사랑약국,127.04206104353845,37.274951831159825
84,"경기도 수원시 권선구 덕영대로 1093, 1층 (세류동)",다솜약국,127.01167788679811,37.254029321562314
85,"경기도 수원시 영통구 광교중앙로 250-0, 250, 113 (하동)",다영약국,127.06743229492561,37.2923950256625
86,"경기도 수원시 권선구 서부로1596번길 10, 1층 105호 (고색동)",다온약국,126.9765593419,37.2515010502
87,"경기도 수원시 권선구 권광로 62, 백림빌딩 1층 101호 (권선동)",다원약국,127.028821731018,37.2534580112464
88,"경기도 수원시 영통구 매영로310번길 87, 204호 (영통동, 동보.신명아파트)",다원약국,127.06407387283396,37.250628875332694
89,"경기도 수원시 영통구 봉영로 1763, 한성프라자 503호 (영통동)",다정약국,127.081659795171,37.2664900976852
90,"경기도 수원시 장안구 정조로 946, 1층 (영화동, 이찬영치과의원)",다정한온누리약국,127.01231077786012,37.29188738768646
91,"경기도 수원시 권선구 세화로169번길 25, (서둔동)",대동온누리약국,126.99171590133073,37.26668383838121
92,경기도 수원시 권선구 정조로 402,대명약국,127.01457303176525,37.24519520737877
93,경기도 수원시 팔달구 정조로 717,대왕약국,127.01639514643026,37.27203144631964
94,경기도 수원시 장안구 경수대로 998 (송죽동),대웅약국,127.00247256213895,37.30600543484257
95,"경기도 수원시 팔달구 정조로 904-1, (북수동)",대학당약국,127.01484091108344,37.28877670101354
96,"경기도 수원시 장안구 창룡대로 197, 1층 (연무동)",대학약국,127.031781007,37.2927055077
97,경기도 수원시 장안구 장안로 270-3,대형약국,126.99144649102345,37.306123372859005
98,"경기도 수원시 장안구 파장로 82, (파장동)",대호약국,126.99205894839721,37.30658185711073
99,"경기도 수원시 권선구 동수원로 232, 롯데마트 지하1층 (권선동)",더행복약국,127.03468925944415,37.250258452353876
100,"경기도 수원시 팔달구 정조로 776, (팔달로3가)",도매당약국,127.01733281919524,37.27733316358263
101,경기도 수원시 영통구 월드컵로179번길 7,도병원약국,127.04595206957146,37.27835289875147
102,"경기도 수원시 영통구 도청로18번길 26, 힐스테이트광교중앙역 128호 (이의동)",도청약국,127.056868624932,37.2876402080675
103,"경기도 수원시 팔달구 팔달로 54, 2층 (고등동)",동네약국,127.00146295104514,37.2729730613977
104,"경기도 수원시 영통구 광교중앙로 55, 지하 2층 106호 (원천동)",동문솔약국,127.0509407621388,37.28070058233947
105,경기도 수원시 팔달구 일월로22번길 17 (화서동),동보약국,126.9807391547537,37.285964823808456
106,경기도 수원시 장안구 수성로275번길 133,동부온누리약국,126.99808851854459,37.29516362866337
107,"경기도 수원시 팔달구 중부대로 194, (인계동)",동수원약국,127.03717741719595,37.27652666895024
108,"경기도 수원시 팔달구 중부대로 190, 1층 (인계동, 일량빌딩)",동수원이화약국,127.03680316110294,37.27670879601666
109,경기도 수원시 장안구 장안로125번길 3,동인약국,126.99969904489812,37.29481766860784
110,"경기도 수원시 장안구 정조로 987, (정자동)",동진약국,127.00927070343738,37.29501245083019
111,경기도 수원시 팔달구 일월로22번길 15,두드림약국,126.98058743133114,37.285837960003825
112,경기도 수원시 권선구 덕영대로 1083 (세류동),두레약국,127.01063393542229,37.25461682205242
113,경기도 수원시 권선구 경수대로 358 (권선동) ,드림약국,127.02345178912122,37.25832014547569
114,경기도 수원시 영통구 봉영로 1623 127호,드림피아약국,127.07473584312541,37.255934544244866
115,"경기도 수원시 팔달구 덕영대로 924, 수원역 분당선지하상가 2호 (매산로1가)",랄랄라약국,127.00009470015192,37.26567857877074
116,"경기도 수원시 영통구 권선로908번길 25, 103호 (신동)",래미안솔약국,127.04518362008926,37.247432841822864
117,"경기도 수원시 장안구 율전로101번길 26, 1층 101호 (율전동)",래허부한약국,126.9676344908,37.2986918411
118,경기도 수원시 팔달구 덕영대로 905 B10-1호,레몬약국,127.00055919818625,37.267887931852655
119,"경기도 수원시 팔달구 매산로 24, 102호 (매산로2가)",로데오약국,127.004248982224,37.2674953631913
120,"경기도 수원시 장안구 정조로 925, 예리레스토랑 1층 (영화동)",로뎀약국,127.012908196539,37.2901232717471
121,"경기도 수원시 영통구 웰빙타운로 20, 상가동 102호 (이의동, 호반가든하임)",로하스약국,127.050405154026,37.3057263205887
122,"경기도 수원시 영통구 도청로89번길 30, 101호 (이의동, 이루리타워)",루약국,127.047025151022,37.2899479422842
123,경기도 수원시 권선구 금호로 213 (구운동),링컨약국,126.97340391691105,37.275341947862174
124,경기도 수원시 영통구 영통로 195,마루약국,127.05580119708713,37.245183482517824
125,"경기도 수원시 권선구 경수대로 270 (권선동, 이마트)",마트약국,127.02087494752314,37.25045630550676
126,"경기도 수원시 팔달구 정조로 785-4, (팔달로2가)",맑고고운약국,127.01646254965337,37.27827036948326
127,"경기도 수원시 영통구 중부대로 264, 1층 (매탄동)",맑은약국,127.04446001850635,37.27425533817835
128,"경기도 수원시 영통구 영통로90번길 4-2, (망포동)",망포약국,127.0600670329382,37.23735973507412
129,"경기도 수원시 팔달구 덕영대로 923-1 (매산로1가, 새수원 빌딩)",매산약국,127.0016910854,37.2661831502
130,경기도 수원시 영통구 인계로189번길 7,매탄약국,127.03806682365794,37.266281743530556
131,"경기도 수원시 영통구 효원로 387, 풍성프라자 103호 (매탄동)",매탄우리들약국,0,0
132,"경기도 수원시 영통구 중부대로 238, 1층 (매탄동)",매화약국,127.041864555993,37.2750229027839
133,경기도 수원시 장안구 송원로 81 (조원동),메가약국,127.00945763168406,37.302295963015915
134,"경기도 수원시 팔달구 세지로 150, (인계동)",메디신성모약국,127.02105929745045,37.26484412976534
135,"경기도 수원시 팔달구 정조로715번길 18, (매교동)",메디신월드약국,127.0160551148309,37.27116301761169
136,경기도 수원시 영통구 월드컵로 185,메디온우리대학약국,127.04535694646819,37.27874957510229
137,"경기도 수원시 권선구 세권로212번길 3, (권선동)",메디원약국,127.02742751222476,37.254689875395336
138,경기도 수원시 팔달구 중부대로 128 1층(인계동),메디칼빈센트약국,127.0302639049,37.2780514091
139,"경기도 수원시 영통구 반달로 105, 101호 (영통동)",메디칼수약국,127.0769147471,37.2525632464
140,"경기도 수원시 영통구 덕영대로 1545, (영통동)",메디칼약국,127.05993890395461,37.246334212534656
141,"경기도 수원시 영통구 봉영로 1767, 107,108호 (영통동,한솔프라자)",메디팜다솜약국,127.08162361048352,37.26668482453558
142,"경기도 수원시 팔달구 효원로 257, 2층 (인계동,동수원홈플러스)",메디팜동수원약국,127.03013152572242,37.26276618059639
143,경기도 수원시 팔달구 팔달문로93번길 4,메디팜새푸른약국,127.02645060602578,37.280971608191564
144,경기도 수원시 팔달구 권광로 146,메디팜열린약국,127.03174665804045,37.26049888048633
145,"경기도 수원시 영통구 봉영로 1576, 2층(영통동,홈플러스)",메디팜우리들약국,127.0725224682032,37.251751460984224
146,"대전광역시 서구 계백로 1135, 109호 (가수원동)",메디팜유명약국,127.3494980667,36.3047666348
147,경기도 수원시 영통구 중부대로246번길 48-2 (매탄동),메디팜유신약국,127.04166313744994,37.2730669818698
148,경기도 수원시 권선구 호매실로104번길 24-61 (호매실동),메디팜하늘약국,126.9626328996,37.2588319681
149,"경기도 수원시 장안구 경수대로 930, 3층(조원동,삼성홈플러스)",메디팜효자약국,127.0088114374,37.3027686237
150,"경기도 수원시 팔달구 매산로 30-1, (매산로2가)",명랑약국,127.00481632582253,37.26766796779857
151,"경기도 수원시 장안구 송원로 80, 1층 좌측호 (조원동)",명리한약국,127.00787408752302,37.30295921622468
152,"경기도 수원시 장안구 창훈로52번길 3, 명성약국 1층 (연무동)",명성약국,127.0302489890293,37.297128200834706
153,"경기도 수원시 팔달구 동말로77번길 28, (화서동)",명인약국,127.00285509736611,37.280091580279425
154,"경기도 수원시 권선구 구운로63번길 22-15, 101호 (구운동)",명인한약국,127.039463888888889,37.253127777777777
155,경기도 수원시 팔달구 덕영대로697번길 48,명진당약국,126.99117421351352,37.284570704896446
156,경기도 수원시 팔달구 덕영대로895번길 37 (매산로1가),모범약국,127.00090197785552,37.27001077010221
157,경기도 수원시 영통구 매영로 91 (매탄동),미래약국,127.05267294904921,37.267987931807646
158,경기도 수원시 권선구 세류로34번길 6 (세류동),미래온누리약국,127.0075981676,37.2617750201
159,"경기도 수원시 영통구 봉영로 1569, 409-1(영통동,뉴월드프라자)",미래팜영통약국,127.0710258682576,37.25205872306345
160,"경기도 수원시 권선구 금곡로102번길 15, 3층 328호 (금곡동, 비즈웍스)",미성약국,126.9418526049,37.2734997538
161,"경기도 수원시 영통구 봉영로 1587, 다모아프라자 206호 (영통동)",미소약국,127.07233458871886,37.253326613842965
162,"경기도 수원시 팔달구 팔달문로163번길 49, 1층 (우만동)",민준약국,127.03207094381729,37.284960103914734
163,경기도 수원시 권선구 구운로 32 (구운동),믿음약국,126.97487090479623,37.27721573379897
164,경기도 수원시 권선구 삼천병마로1592번길 3-0 (오목천동),바다약국,126.96380289703245,37.24494544190943
165,"경기도 수원시 팔달구 권광로 173, 남경빌딩 1층 (인계동)",바로나약국,127.031951971047,37.2630752113222
166,"경기도 수원시 권선구 탑동로3번길 13, 102호 (탑동)",바른약국,126.97451555904243,37.26888714844205
167,경기도 수원시 영통구 덕영대로 1689 (영통동),"반가워,약국",127.076031384497,37.2479777730091
168,"경기도 수원시 장안구 만석로19번길 29, 504호 (천천동, 부강프라자)",밝은미소약국,126.98311842821267,37.29660826077391
169,"경기도 수원시 권선구 곡선로49번길 2, 1층 (곡반정동)",밝은온누리약국,127.0302257589,37.239032654
170,경기도 수원시 팔달구 동말로 45,백두산약국,126.9990770098332,37.27881173206243
171,"경기도 수원시 영통구 광교중앙로 256, 1층 112호 (하동)",법원약국,127.0679964576458,37.292697451559036
172,경기도 수원시 장안구 덕영대로535번길 38 (천천동) 로얄프라자 3층,베스트약국,126.98241452006508,37.29718121790333
173,경기도 수원시 팔달구 정조로 764 (팔달로3가),보건약국,127.01691311013815,37.276179892790736
174,"경기도 수원시 권선구 동수원로242번길 22, 센타프라자 101호 (권선동)",보람약국,127.035749001,37.2507194718
175,"경기도 수원시 장안구 경수대로 940 , 3층 312호 (조원동)",보성약국,127.00790116028652,37.30298804769798
176,경기도 수원시 권선구 세권로 197,보원약국,127.0257568386962,37.25544724865615
177,"경기도 수원시 영통구 중부대로 293-3, 101호 (원천동)",본약국,127.0475853163,37.2740306782
178,"경기도 수원시 팔달구 인계로 104, 1층 (인계동)",봄봄온누리약국,127.028864619667,37.2677820561243
179,"경기도 수원시 영통구 영통로154번길 74, B03호 (망포동)",봄빛약국,127.05970498487612,37.24129930420788
180,"경기도 수원시 권선구 금곡로102번길 48, 104호 (금곡동)",봄빛약국,126.94138921253361,37.27203263104938
181,"경기도 수원시 장안구 송원로 81, 402호 (조원동, 메가플러스2차)",봄빛약국,127.00915983664672,37.30205811091546
182,경기도 수원시 권선구 금호로 234 (탑동),봄약국,126.97566799060863,37.275342434867824
183,경기도 수원시 장안구 경수대로994번길 14 (송죽동) ,부강약국,127.00351931305981,37.30603425391489
184,경기도 수원시 권선구 상탑로 101 (서둔동),부민약국,126.98206431865181,37.27114472677945
185,"경기도 수원시 팔달구 덕영대로 923-10, 407호 (매산로1가, 비젼포에버)",비전굿모닝약국,127.00169294032565,37.265901744321404
186,"경기도 수원시 장안구 경수대로976번길 27, 가동 1층 (송죽동)",비타민약국,127.0043043824,37.3058900622
187,경기도 수원시 팔달구 중부대로143번길 29,비타민약국,127.03205200486661,37.2796656004139
188,"경기도 수원시 장안구 장안로 76, 1층 102호 (정자동)",사랑방약국,127.00318030961628,37.291120288058366
189,"경기도 수원시 장안구 정자천로 163, 102호 (정자동, 하나로빌딩)",사랑약국,126.99412633631498,37.29495139759346
190,"경기도 수원시 팔달구 갓매산로 51, 105호 (매산로2가, 에스알프라자23차)",사랑약국,127.00469189141756,37.26893278201107
191,"경기도 수원시 영통구 효원로 387, 108호 (매탄동,풍성프라자)",사랑약국,127.04391009017803,37.25923337619696
192,"경기도 수원시 팔달구 화서문로 24, 1층 (신풍동)",산강약국,127.010453832364,37.2848884798005
193,"경기도 수원시 장안구 파장천로 137-8, 1층 (파장동)",삼대약손한약국,126.9991382027,37.3075083974
194,경기도 수원시 팔달구 중부대로 11 (영동) ,삼성건강약국,127.01811259852727,37.275372396242496
195,"경기도 수원시 영통구 인계로 264, (매탄동)",삼성메디약국,127.0463703208037,37.26371242152853
196,"경기도 수원시 팔달구 동말로 84, 화서프라자 102호 (화서동)",삼성메디컬약국,127.00323841696107,37.27860665674292
197,"경기도 수원시 팔달구 경수대로479번길 10-11, (인계동)",삼성약국,127.02667534664755,37.26979151840752
198,"경기도 수원시 영통구 인계로 219, 209호 (매탄동, 삼성1차아파트)",삼성종합약국,127.04106518846234,37.265376140868234
199,"경기도 수원시 팔달구 팔달문로3번길 4, (팔달로2가)",삼영약국,127.01785159136105,37.2777403566211
200,경기도 수원시 장안구 수성로245번길 64 (정자동) ,삼일약국,126.99768129478743,37.29196729652209
201,"경기도 수원시 권선구 금호로 231, (구운동)",상록수약국,126.97520783558953,37.2757207763655
202,경기도 수원시 팔달구 경수대로421번길 6-15 ,새다나약국,127.02498246634147,37.26466317182306
203,"경기도 수원시 영통구 봉영로 1623, 드림피아빌딩 5층 (영통동)",새로운약국,127.074734153872,37.2559361671782
204,경기도 수원시 권선구 권선로 532,새롬약국,127.00980073532617,37.26314428696792
205,"경기도 수원시 권선구 금곡로197번길 70, 1층 (금곡동)",새봄약국,126.9539337021123,37.27544411047904
206,"경기도 수원시 팔달구 경수대로467번길 9, 1층 (인계동)",새서울약국,127.02622821,37.2679210695
207,"경기도 수원시 팔달구 동말로48번길 6, (화서동)",새시대약국,126.9993911308851,37.27839765819339
208,경기도 수원시 영통구 효원로 363,새싹약국,127.04191432394589,37.25946866674868
209,경기도 수원시 팔달구 인계로 52 (인계동),새우리약국,127.02330343773578,37.269129046441115
210,경기도 수원시 장안구 수성로261번길 6,새우주약국,127.00105695454627,37.29013232177157
211,"경기도 수원시 영통구 동수원로 516, 덕진빌딩 1층 (매탄동)",새이화약국,127.047210806625,37.2728438872946
212,경기도 수원시 권선구 탑동로 9 (탑동),새한아름약국,126.9749727739147,37.26967951146978
213,경기도 수원시 팔달구 팔달로 117 ,새희망약국,127.00359924756681,37.279161699930015
214,"경기도 수원시 장안구 하률로12번길 86 , 1층 (천천동)",샘약국,126.97742059942,37.30099629613307
215,경기도 수원시 팔달구 권광로 184,샤론약국,127.03313691453661,37.26391163919647
216,"경기도 수원시 장안구 경수대로1073번길 3, 1층 (파장동,일림빌딩)",샬롬약국,126.9949148794373,37.30877333268741
217,"경기도 수원시 권선구 여기산로 2, 엔 프라자 1층 (서둔동)",서수원프라자약국,126.9789147421,37.2771559639
218,경기도 수원시 팔달구 경수대로 557 (인계동),서울미래약국,127.02961352549606,37.27575211904505
219,"경기도 수원시 권선구 효원로 228, 102호 (권선동)",서울약국,127.02638868532969,37.26255442798245
220,"경기도 수원시 장안구 대평로 128, 112호 (정자동, 파크프라자)",서울온누리약국,126.9913153328,37.29893021739999
221,"경기도 수원시 영통구 영통로 195, 골든스퀘어 125호 (망포동)",서호온누리약국,127.055799794469,37.2451815599677
222,경기도 수원시 영통구 중부대로271번길 4,선명약국,127.04580554743737,37.274608259986984
223,"경기도 수원시 권선구 세권로 124, (세류동)",선물약국,127.01786926679804,37.2571092031475
224,"경기도 수원시 팔달구 덕영대로 899, 세진브론즈빌 102호 (매산로1가)",선약국,127.000312407984,37.2681527488647
225,"경기도 수원시 권선구 금호로 20-1, 1층 (호매실동)",선한약국,126.95442929542923,37.26885587829232
226,"경기도 수원시 장안구 서부로 2107, (율전동)",성균관약국,126.97012556760515,37.29690122194967
227,경기도 수원시 장안구 파장로 37,성모약국,126.99633746550464,37.305183013715556
228,"경기도 수원시 장안구 장안로 262, 1층 105호 (정자동)",성문온누리약국,126.9920545313,37.3054898139
229,경기도 수원시 권선구 경수대로 295 ,성빈약국,127.0199920068435,37.2533686456722
230,"경기도 수원시 장안구 연무로 54, (연무동)",성신약국,127.0258860237052,37.29580289609791
231,경기도 수원시 팔달구 덕영대로 695,성약국,126.99021343688887,37.28466432443456
232,경기도 수원시 장안구 장안로 272 (정자동),성원약국,126.99133707083646,37.30625022532655
233,"경기도 수원시 권선구 경수대로302번길 32 , 102호 (권선동, 성지아파트)",성지약국,127.02218062676894,37.25301152403299
234,"경기도 수원시 팔달구 중부대로 245 (우만동, 용신빌딩)",세계로약국,127.04289117892266,37.27544530344099
235,"경기도 수원시 팔달구 덕영대로 923-10, 105호 (매산로1가, 비젼포에버)",세계약국,127.00169109950735,37.26592003266203
236,경기도 수원시 권선구 세권로165번길 30-2 (권선동),세광약국,127.02322151678446,37.25724973820922
237,경기도 수원시 팔달구 정조로 777 202-1호(팔달로3가),세기약국,127.01610602,37.2773441624
238,경기도 수원시 팔달구 정조로801번길 3,세라약국,127.01617561256703,37.27950644592295
239,"경기도 수원시 권선구 정조로413번길 68, 1층 (세류동)",세류굿모닝약국,127.01263048535213,37.248734681886106
240,경기도 수원시 권선구 덕영대로 1088 ,세류온누리약국,127.01073551848485,37.2538780354122
241,"경기도 수원시 권선구 세류로 32, 1층 102-1호 (세류동)",세류중앙약국,127.00728703368942,37.26185433143087
242,"경기도 수원시 장안구 송정로 66, (정자동)",세명약국,127.00443465506214,37.29578491986875
243,경기도 수원시 권선구 금곡로102번길 20,세민약국,126.94126867957972,37.2732604828291
244,대전광역시 서구 가수원로 106,세원약국,127.34966842026284,36.303980673469454
245,"경기도 수원시 팔달구 인계로108번길 4, (인계동,인선빌딩)",세종약국,127.02917291928126,37.26765727641369
246,"경기도 수원시 권선구 삼천병마로1598번길 32, 대유빌딩 303호 (오목천동)",센타약국,126.96529029049731,37.245738793058045
247,경기도 수원시 권선구 세화로 134 (서둔동) 2층 롯데몰,소나무약국,126.99729433501561,37.264179213953966
248,경기도 수원시 장안구 조원로 76 (조원동),소명온누리약국,127.01696360599246,37.30021238414746
249,"경기도 수원시 권선구 정조로 582, 1층 (세류동)",소생약국,127.01351871061064,37.26073647770408
250,"경기도 수원시 장안구 경수대로 784, (영화동, 1층)",소화약국,127.0196459521373,37.29232609124969
251,"경기도 수원시 영통구 중부대로 288, 홍신빌딩 1층 (매탄동)",손약국,127.04703025990061,37.27347945008175
