"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000022630,대구교육대학교안동부설초등학교,초등학교,1956-04-01,국립,본교,운영,경상북도 안동시 명륜동 산156-5,경상북도 안동시 단원로 222,8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2021-07-05,36.569823331,128.72864103,2021-09-15
B000008609,재송여자중학교,중학교,1984-01-07,공립,본교,운영,부산광역시 해운대구 재송동 1157,부산광역시 해운대구 재반로84번길 148,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2021-07-05,35.189842807,129.1310174,2021-09-15
B000007979,도평초등학교,초등학교,1955-04-25,공립,본교,운영,제주특별자치도 제주시 도평동 866,제주특별자치도 제주시 도평길 17,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2013-11-29,2021-07-05,33.480829257,126.44677358,2021-09-15
B000003757,탄천초등학교,초등학교,1995-05-01,공립,본교,운영,경기도 성남시 분당구 정자동 195,경기도 성남시 분당구 내정로 20,7530000,경기도교육청,7551000,경기도성남교육지원청,2013-11-29,2021-07-05,37.36159606,127.1156357,2021-09-15
B000009302,이호중학교,중학교,2011-05-06,공립,본교,운영,경기도 안산시 상록구 본오동 1214,경기도 안산시 상록구 충장로 50,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,2021-07-05,37.285927724,126.85710186,2021-09-15
B000008223,중평중학교,중학교,1990-05-06,공립,본교,운영,서울특별시 노원구 하계동 271-2,서울특별시 노원구 동일로203길 87,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-07-05,37.636976376,127.0623933,2021-09-15
B000009460,대호중학교,중학교,2004-09-01,공립,본교,운영,경기도 오산시 궐동 617,경기도 오산시 궐리사로29번길 19,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2021-07-05,37.162200808,127.05687078,2021-09-15
B000012439,망포고등학교,고등학교,2008-03-01,공립,본교,운영,경기도 수원시 영통구 망포동 672-6,경기도 수원시 영통구 동탄지성로 468,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2021-07-05,37.23382741,127.04643571,2021-09-15
B000002919,대구장성초등학교,초등학교,2004-09-01,공립,본교,운영,대구광역시 달서구 장기동 50,대구광역시 달서구 달구벌대로 1429-11,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2021-07-05,35.850359047,128.52326396,2021-09-15
B000008483,장평중학교,중학교,1981-12-28,공립,본교,운영,부산광역시 사하구 감천동 567-9,부산광역시 사하구 사하로 134-1,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.093967955,128.99446845,2021-09-15
B000010254,군산진포중학교,중학교,1916-05-21,공립,본교,운영,전라북도 군산시 수송동 61-10,전라북도 군산시 진포3길 66,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2013-11-29,2021-07-05,35.972439822,126.72207843,2021-09-15
B000006969,동방초등학교,초등학교,1949-10-05,공립,본교,운영,경상북도 경주시 동방동 151,경상북도 경주시 산업로 3485-8,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2021-07-05,35.803638893,129.2619004,2021-09-15
B000007325,청도초등학교,초등학교,1911-04-01,공립,본교,운영,경상북도 청도군 화양읍 범곡리 495,경상북도 청도군 화양읍 청화로 38-10,8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2021-07-05,35.647686888,128.7305707,2021-09-15
B000002426,서울수송초등학교,초등학교,2001-09-01,공립,본교,운영,서울특별시 강북구 번동 456,서울특별시 강북구 한천로124길 14,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2021-07-05,37.637323967,127.03320668,2021-09-15
B000011391,대진전자통신고등학교,고등학교,1995-10-30,사립,본교,운영,부산광역시 금정구 장전동 657-13,부산광역시 금정구 수림로 92,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2021-07-05,35.24150549,129.0818052,2021-09-15
B000011936,자양고등학교,고등학교,1984-05-15,공립,본교,운영,서울특별시 광진구 자양동 524-11,서울특별시 광진구 뚝섬로37길 28,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2021-07-05,37.536077968,127.07333954,2021-09-15
B000007315,병곡초등학교,초등학교,1928-08-27,공립,본교,운영,경상북도 영덕군 병곡면 병곡리 84-1,경상북도 영덕군 병곡면 영길 103-10,8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2021-07-05,36.601855726,129.40917517,2021-09-15
B000006078,무녀도초등학교,초등학교,1952-03-01,공립,본교,운영,전라북도 군산시 옥도면 무녀도리 223-1,전라북도 군산시 옥도면 무녀도2길 33,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2013-11-29,2021-07-05,35.804668039,126.42374723,2021-09-15
B000010754,안동중학교,중학교,1946-04-10,공립,본교,운영,경상북도 안동시 태화동 255,경상북도 안동시 태화1길 14,8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2021-07-05,36.564654344,128.7119477,2021-09-15
B000007518,웅동초등학교,초등학교,1932-09-01,공립,본교,운영,경상남도 창원시 진해구 마천동 144-8,경상남도 창원시 진해구 마천로 29,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2021-07-05,35.127094427,128.78380778,2021-09-15
B000004004,용인신봉초등학교,초등학교,2010-05-01,공립,본교,운영,경기도 용인시 수지구 신봉동 952,경기도 용인시 수지구 신봉2로 115,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2021-07-05,37.329834258,127.068107,2021-09-15
B000008307,신월중학교,중학교,1981-05-20,공립,본교,운영,서울특별시 양천구 신월동 17-6,서울특별시 양천구 남부순환로29길 25,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-07-05,37.540461945,126.82838903,2021-09-15
B000010720,계림중학교,중학교,1985-12-23,공립,본교,운영,경상북도 경주시 황성동 469-8,경상북도 경주시 용담로 68,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2021-07-05,35.86411253,129.21414605,2021-09-15
B000006753,남악초등학교,초등학교,2007-09-01,공립,본교,운영,전라남도 무안군 삼향읍 남악리 1587,전라남도 무안군 삼향읍 남악영산길 6,8490000,전라남도교육청,8661000,전라남도무안교육지원청,2013-11-29,2021-07-05,34.812771691,126.4740206,2021-09-15
B000002361,서울옥정초등학교,초등학교,1971-05-22,공립,본교,운영,서울특별시 성동구 옥수동 233-16,서울특별시 성동구 한림말길 43,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2021-07-05,37.542309739,127.01578548,2021-09-15
B000002994,대청초등학교,초등학교,1932-05-01,공립,본교,운영,인천광역시 옹진군 대청면 대청리 1085,인천광역시 옹진군 대청면 대청로244번길 110,7310000,인천광역시교육청,7321000,인천광역시남부교육지원청,2013-11-29,2021-07-05,37.832602809,124.69684352,2021-09-15
B000013271,순심고등학교,고등학교,1952-03-30,사립,본교,운영,경상북도 칠곡군 왜관읍 왜관리 340,경상북도 칠곡군 왜관읍 평장2길 6,8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2021-07-05,35.9864732,128.40322617,2021-09-15
B000003511,동부초등학교,초등학교,1991-03-01,공립,본교,운영,울산광역시 동구 동부동 676,울산광역시 동구 남목13길 23,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2021-07-05,35.544904193,129.4272227,2021-09-15
B000026124,늘봄초등학교,초등학교,2015-05-01,공립,본교,운영,세종특별자치시 도담동 688,세종특별자치시 다솜1로 183,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2021-07-05,36.51436121,127.25513125,2021-09-15
B000003385,대전보성초등학교,초등학교,1994-09-01,공립,본교,운영,대전광역시 중구 문화동 782,대전광역시 중구 보문산로141번길 34,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2021-07-05,36.306690002,127.39650173,2021-09-15
B000006173,옹동초등학교,초등학교,1932-05-01,공립,본교,운영,전라북도 정읍시 옹동면 칠석리 239,전라북도 정읍시 옹동면 칠석1길 29-7,8320000,전라북도교육청,8361000,전라북도정읍교육지원청,2013-11-29,2021-07-05,35.647280524,126.97634576,2021-09-15
B000002667,주학초등학교,초등학교,1983-05-09,공립,본교,운영,부산광역시 사상구 주례동 84-192,부산광역시 사상구 가야대로366번길 120,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,2021-07-05,35.146066244,129.01215913,2021-09-15
B000001842,서울용두초등학교,초등학교,1948-11-01,공립,본교,운영,서울특별시 동대문구 용두동 237-1,서울특별시 동대문구 천호대로13길 43,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-07-05,37.576413092,127.02838719,2021-09-15
B000009436,동학중학교,중학교,2002-05-16,공립,본교,운영,경기도 화성시 반월동 184-8,경기도 화성시 영통로27번길 60,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2021-07-05,37.232987112,127.0581592,2021-09-15
B000012075,창덕여자고등학교,고등학교,1941-04-22,공립,본교,운영,서울특별시 송파구 방이동 89-6,서울특별시 송파구 양재대로 1240,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.516243513,127.14027359,2021-09-15
B000005914,안흥초등학교,초등학교,1939-08-10,공립,본교,운영,충청남도 태안군 근흥면 정죽리 823-1,충청남도 태안군 근흥면 죽림길 45,8140000,충청남도교육청,8281000,충청남도태안교육지원청,2013-11-29,2021-07-05,36.695745234,126.17438076,2021-09-15
B000011003,창원중앙중학교,중학교,1988-01-30,공립,본교,운영,경상남도 창원시 성산구 반지동 91,경상남도 창원시 성산구 반지로3번길 14,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2021-07-05,35.24012853,128.65739917,2021-09-15
B000002319,서울남사초등학교,초등학교,1979-09-27,공립,본교,운영,서울특별시 동작구 사당동 1011-1,서울특별시 동작구 동작대로13길 22,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-07-05,37.481943485,126.97823413,2021-09-15
B000002011,서울대영초등학교,초등학교,1988-04-22,공립,본교,운영,서울특별시 영등포구 신길동 341-1,서울특별시 영등포구 신길로23길 43,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2021-07-05,37.502679369,126.90633674,2021-09-15
B000009890,청주중앙여자중학교,중학교,1977-12-30,공립,본교,운영,충청북도 청주시 청원구 사천동 229-5,충청북도 청주시 청원구 율천북로 59,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2021-07-05,36.664043634,127.47788714,2021-09-15
B000013274,경북기계명장고등학교,고등학교,1983-11-21,공립,본교,운영,경상북도 칠곡군 지천면 신리 597,경상북도 칠곡군 지천면 신동로 99,8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2021-07-05,35.958475994,128.48391199,2021-09-15
B000004754,상패초등학교,초등학교,1947-03-20,공립,본교,운영,경기도 양주시 은현면 하패리 796-4,경기도 양주시 은현면 은현로312번길 121-208,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2021-07-05,37.898027945,127.02647693,2021-09-15
B000010811,영동중학교,중학교,1969-10-26,사립,본교,운영,경상북도 영천시 야사동 393,경상북도 영천시 안야사길 13,8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2021-07-05,35.977788739,128.94655407,2021-09-15
B000023082,은가람중학교,중학교,2015-05-01,공립,본교,운영,경기도 하남시 선동 414,경기도 하남시 미사강변한강로 9,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2013-11-29,2021-07-05,37.57599104,127.1770332,2021-09-15
B000011453,전남공업고등학교,고등학교,1977-03-07,공립,본교,운영,광주광역시 광산구 신창동 999,광주광역시 광산구 왕버들로322번길 26,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2021-07-05,35.19357256,126.84311382,2021-09-15
B000010641,장성삼서중학교,중학교,1972-03-09,공립,본교,운영,전라남도 장성군 삼서면 대곡리 297-1,전라남도 장성군 삼서면 대곡한실길 20,8490000,전라남도교육청,8691000,전라남도장성교육지원청,2013-11-29,2021-07-05,35.22922533,126.65185444,2021-09-15
B000010833,화령중학교,중학교,1952-09-09,공립,본교,운영,경상북도 상주시 화서면 달천리 503-1,경상북도 상주시 화서면 중화로 2187,8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2021-07-05,36.442452107,127.9458196,2021-09-15
B000010710,포항동해중학교,중학교,1948-09-01,사립,본교,운영,경상북도 포항시 남구 동해면 도구리 621,경상북도 포항시 남구 동해면 일월로41번길 26,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2021-07-05,35.989839783,129.43984225,2021-09-15
B000007544,온천초등학교,초등학교,1939-04-01,공립,본교,운영,경상남도 창원시 의창구 북면 신촌리 612-2,경상남도 창원시 의창구 북면 신리길30번길 17,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2021-07-05,35.349420321,128.60492553,2021-09-15
B000002127,서울문덕초등학교,초등학교,1993-10-26,공립,본교,운영,서울특별시 송파구 문정동 90-3,서울특별시 송파구 송이로34길 60,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.485180085,127.12772902,2021-09-15
B000008572,덕천중학교,중학교,1981-09-16,공립,본교,운영,부산광역시 북구 덕천동 320-1,부산광역시 북구 만덕대로65번길 50,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,2021-07-05,35.214234017,129.01181344,2021-09-15
B000003637,영화초등학교,초등학교,1954-09-20,공립,본교,운영,경기도 수원시 장안구 조원동 556,경기도 수원시 장안구 경수대로 838,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2021-07-05,37.296862065,127.0163697,2021-09-15
