"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008068,의귀초등학교,초등학교,1959-02-20,공립,본교,운영,제주특별자치도 서귀포시 남원읍 의귀리 1483-3,제주특별자치도 서귀포시 남원읍 한신로 213,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2013-11-29,2021-07-05,33.311118946,126.71462802,2021-09-15
B000022613,거제장평중학교,중학교,2013-05-01,공립,본교,운영,경상남도 거제시 장평동 148,경상남도 거제시 장평4로 40,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2013-11-29,2021-07-05,34.88608569,128.60646654,2021-09-15
B000022983,연무여자중학교,중학교,1970-04-10,사립,본교,운영,충청남도 논산시 연무읍 동산리 879,충청남도 논산시 연무읍 동안로887번길 5,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2013-11-29,2021-07-05,36.135364663,127.10463278,2021-09-15
B000002721,기장초등학교,초등학교,1911-07-01,공립,본교,운영,부산광역시 기장군 기장읍 동부리 320,부산광역시 기장군 기장읍 읍내로 69,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2021-07-05,35.245772171,129.21276564,2021-09-15
B000012154,성일여자고등학교,고등학교,1986-05-01,사립,본교,운영,부산광역시 사하구 신평동 60-1,부산광역시 사하구 다대로 161,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.089499512,128.98006264,2021-09-15
B000007661,칠산초등학교,초등학교,1945-05-30,공립,본교,운영,경상남도 김해시 화목동 773-1,경상남도 김해시 칠산로 413번길 16-2,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2021-07-05,35.210016492,128.85154146,2021-09-15
B000007938,북상초등학교,초등학교,1928-07-01,공립,본교,운영,경상남도 거창군 북상면 갈계리 1439-1,경상남도 거창군 북상면 송계로 731-18,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2013-11-29,2021-07-05,35.780095851,127.81703863,2021-09-15
B000013479,대영고등학교,고등학교,1987-12-15,공립,본교,운영,서울특별시 영등포구 신길동 336-2,서울특별시 영등포구 도림로86길 16,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2021-07-05,37.503661091,126.90586572,2021-09-15
B000002754,대구아양초등학교,초등학교,1958-04-07,공립,본교,운영,대구광역시 동구 신암동 1463,대구광역시 동구 아양로 221,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.887462681,128.63743376,2021-09-15
B000009024,가수원중학교,중학교,1988-03-05,공립,본교,운영,대전광역시 서구 가수원동 806-18,대전광역시 서구 가수원로 26,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2021-07-05,36.298472112,127.35455798,2021-09-15
B000008657,동원중학교,중학교,1984-12-18,공립,본교,운영,대구광역시 수성구 만촌동 254,대구광역시 수성구 효행로2길 81,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.875856424,128.6510708,2021-09-15
B000002213,서울양동초등학교,초등학교,1972-08-11,공립,본교,운영,서울특별시 양천구 신정동 941,서울특별시 양천구 오목로23길 24,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-07-05,37.525848264,126.85124019,2021-09-15
B000011810,한국과학영재학교,고등학교,1990-09-07,국립,본교,운영,부산광역시 부산진구 당감동 899,부산광역시 부산진구 백양관문로 105-47,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2020-09-22,35.165200115,129.0257844,2021-09-15
B000012208,대구남산고등학교,고등학교,1944-04-30,사립,본교,운영,대구광역시 수성구 수성동1가 96-16,대구광역시 수성구 신천동로 364,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.857312471,128.60917881,2021-09-15
B000026354,고헌중학교,중학교,2020-03-01,공립,본교,운영,울산광역시 북구 화봉동 1485-1,울산광역시 북구 박상진2로 81,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2021-07-05,35.597779151,129.36402699,2021-09-15
B000002653,서감초등학교,초등학교,1984-03-30,공립,본교,운영,부산광역시 사상구 감전동 122-1,부산광역시 사상구 괘감로 64,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,2021-07-05,35.157820293,128.98206019,2021-09-15
B000009788,상장중학교,중학교,1984-05-15,공립,본교,운영,강원도 태백시 황지동 123,강원도 태백시 태백로 1221,7800000,강원도교육청,7851000,강원도태백교육지원청,2013-11-29,2021-07-05,37.150686111,128.99212168,2021-09-15
B000005015,맹방초등학교,초등학교,1946-12-12,공립,본교,운영,강원도 삼척시 근덕면 상맹방리 171-2,강원도 삼척시 근덕면 삼척로 3884-4,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,2021-07-05,37.398526761,129.21277681,2021-09-15
B000009803,미로중학교,중학교,1971-04-21,공립,본교,운영,강원도 삼척시 미로면 하거노리 449,강원도 삼척시 미로면 강원남부로 3907,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,2021-07-05,37.410415411,129.10389145,2021-09-15
B000002295,서울신구초등학교,초등학교,1981-11-03,공립,본교,운영,서울특별시 강남구 신사동 550-11,서울특별시 강남구 압구정로18길 28,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2021-07-05,37.523360574,127.02399243,2021-09-15
B000007934,거창초등학교,초등학교,1907-06-01,공립,본교,운영,경상남도 거창군 거창읍 중앙리 311,경상남도 거창군 거창읍 아림로 48,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2013-11-29,2021-07-05,35.687531603,127.91008915,2021-09-15
B000008561,동래여자중학교,중학교,1895-10-15,사립,본교,운영,부산광역시 금정구 구서동 72-3,부산광역시 금정구 체육공원로 20,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2021-07-05,35.247042342,129.0981972,2021-09-15
B000003295,유안초등학교,초등학교,1991-04-06,공립,본교,운영,광주광역시 남구 봉선동 124,광주광역시 남구 봉선로175번길 16,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2021-07-05,35.125485398,126.91468624,2021-09-15
B000001877,서울봉화초등학교,초등학교,1996-09-19,공립,본교,운영,서울특별시 중랑구 신내동 655,서울특별시 중랑구 신내로15길 110,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-07-05,37.613576231,127.09240849,2021-09-15
B000002770,영신초등학교,초등학교,1965-03-10,사립,본교,운영,대구광역시 동구 봉무동 524,대구광역시 동구 팔공로50길 32,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.92000422,128.64642402,2021-09-15
B000005687,서령초등학교,초등학교,1948-09-01,공립,본교,운영,충청남도 서산시 죽성동 77-2,충청남도 서산시 남부순환로 749,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,2021-07-05,36.744216646,126.44700363,2021-09-15
B000008630,동아중학교,중학교,1945-11-01,사립,본교,운영,부산광역시 수영구 광안동 1222-23,부산광역시 수영구 호암로 55,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2021-07-05,35.156780923,129.10698398,2021-09-15
B000011355,단국대학교부속소프트웨어고등학교,고등학교,1950-11-03,사립,본교,운영,서울특별시 강남구 대치동 1013-3,서울특별시 강남구 도곡로64길 21,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2021-07-05,37.49562483,127.05776823,2021-09-15
B000008405,남서울중학교,중학교,1964-11-12,공립,본교,운영,서울특별시 관악구 신림동 1690-3,서울특별시 관악구 남부순환로172길 97,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-07-05,37.482136247,126.92103714,2021-09-15
B000008365,봉은중학교,중학교,1986-04-29,공립,본교,운영,서울특별시 강남구 삼성동 82-7,서울특별시 강남구 영동대로128길 59,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2021-07-05,37.518976669,127.06238935,2021-09-15
B000003396,대전대화초등학교,초등학교,1982-10-18,공립,본교,운영,대전광역시 대덕구 대화동 244-5,대전광역시 대덕구 대화로 242-36,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2021-07-05,36.362692211,127.41134413,2021-09-15
B000023141,도담고등학교,고등학교,2013-03-01,공립,본교,운영,세종특별자치시 도담동 642,세종특별자치시 보듬4로 41,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2021-07-05,36.514207156,127.26344456,2021-09-15
B000003430,가수원초등학교,초등학교,1946-10-26,공립,본교,운영,대전광역시 서구 가수원동 732-3,대전광역시 서구 벌곡로 1359,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2021-07-05,36.302393709,127.35300211,2021-09-15
B000001876,서울중화초등학교,초등학교,1946-11-07,공립,본교,운영,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-07-05,37.602921625,127.09406499,2021-09-15
B000008924,금호중앙중학교,중학교,1960-04-15,사립,본교,운영,광주광역시 북구 운암동 140,광주광역시 북구 금호로 100,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2013-11-29,2021-07-05,35.178596898,126.88551258,2021-09-15
B000011103,월산중학교,중학교,2001-11-05,공립,본교,운영,경상남도 김해시 부곡동 806-10,경상남도 김해시 월산로 104,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2021-07-05,35.205261829,128.80394168,2021-09-15
B000003476,대전하기초등학교,초등학교,2005-03-01,공립,본교,운영,대전광역시 유성구 하기동 514,대전광역시 유성구 송림로19번길 32,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2021-07-05,36.388631446,127.321529,2021-09-15
B000002058,서울상월초등학교,초등학교,1990-05-29,공립,본교,운영,서울특별시 노원구 상계동 697,서울특별시 노원구 동일로221길 27,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-07-05,37.658652239,127.05697997,2021-09-15
B000008184,선유중학교,중학교,1985-05-04,공립,본교,운영,서울특별시 영등포구 양평동3가 82,서울특별시 영등포구 선유로 213,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2021-07-05,37.533286465,126.8943293,2021-09-15
B000001868,서울중목초등학교,초등학교,1997-11-04,공립,본교,운영,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-07-05,37.59008735,127.0793361,2021-09-15
B000012028,독산고등학교,고등학교,2002-05-04,공립,본교,운영,서울특별시 금천구 독산동 907-34,서울특별시 금천구 문성로 64,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2021-07-05,37.476218719,126.9109732,2021-09-15
B000005742,연봉초등학교,초등학교,1946-08-20,공립,본교,운영,세종특별자치시 연서면 봉암리 210-2,세종특별자치시 연서면 당산로 357-1,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2021-07-05,36.564452742,127.28207144,2021-09-15
B000005745,연남초등학교,초등학교,1908-04-01,공립,본교,운영,세종특별자치시 연기면 연기리 397,세종특별자치시 연기면 연기길 2,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2021-07-05,36.543880825,127.27784695,2021-09-15
B000005744,수왕초등학교,초등학교,1970-04-07,공립,본교,운영,세종특별자치시 연기면 눌왕리 324,세종특별자치시 연기면 눌왕길 8-45,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2021-07-05,36.543473585,127.2522374,2021-09-15
B000010586,산이중학교,중학교,1966-12-13,공립,본교,운영,전라남도 해남군 산이면 초송리 527-5,전라남도 해남군 산이면 비석길 98-2,8490000,전라남도교육청,8641000,전라남도해남교육지원청,2013-11-29,2021-07-05,34.645794399,126.44781981,2021-09-15
B000009470,광남중학교,중학교,1982-10-02,공립,본교,운영,경기도 광명시 광명동 384-6,경기도 광명시 광명로 785,7530000,경기도교육청,7591000,경기도광명교육지원청,2013-11-29,2021-07-05,37.470074747,126.84755883,2021-09-15
B000013346,김해임호고등학교,고등학교,2012-04-13,공립,본교,운영,경상남도 김해시 외동 715-2,경상남도 김해시 분성로3번길 77,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2021-07-05,35.238268639,128.85272011,2021-09-15
B000011816,부일외국어고등학교,고등학교,1994-09-16,사립,본교,운영,부산광역시 사하구 감천동 634-61,부산광역시 사하구 감천로73번길 36,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.090736086,129.00256044,2021-09-15
B000011104,율하중학교,중학교,2010-03-01,공립,본교,운영,경상남도 김해시 율하동 1293,경상남도 김해시 율하1로 39,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2021-07-05,35.175080982,128.80800096,2021-09-15
B000012153,삼성여자고등학교,고등학교,1954-03-05,사립,본교,운영,부산광역시 사하구 감천동 598-1,부산광역시 사하구 감천로43번길 45,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.094224971,128.99823284,2021-09-15
B000007846,좌삼초등학교,초등학교,1946-09-20,공립,본교,운영,경상남도 양산시 상북면 좌삼리 493,경상남도 양산시 상북면 수서로 275-16,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2013-11-29,2021-07-05,35.441025787,129.04346778,2021-09-15
B000011160,영산중학교,중학교,1951-06-25,공립,본교,운영,경상남도 창녕군 영산면 서리 253,경상남도 창녕군 영산면 영산계성로 87,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2013-11-29,2021-07-05,35.4601691,128.52427374,2021-09-15
B000007805,유어초등학교,초등학교,1926-10-01,공립,본교,운영,경상남도 창녕군 유어면 부곡리 481,경상남도 창녕군 유어면 마수원길 39,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2013-11-29,2021-07-05,35.509446366,128.41101237,2021-09-15
B000002310,서울동작초등학교,초등학교,1983-04-06,공립,본교,운영,서울특별시 동작구 사당동 산9-1,서울특별시 동작구 동작대로29길 214,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-07-05,37.49410161,126.97650883,2021-09-15
B000012048,서울문영여자고등학교,고등학교,1991-11-07,사립,본교,운영,서울특별시 관악구 봉천동 1695,서울특별시 관악구 관악로 85,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-07-05,37.472904567,126.95091806,2021-09-15
B000002198,서울갈산초등학교,초등학교,1987-11-26,공립,본교,운영,서울특별시 양천구 신정동 330-10,서울특별시 양천구 목동로 31,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-07-05,37.512371565,126.87022988,2021-09-15
B000002049,서울태랑초등학교,초등학교,2001-10-21,공립,본교,운영,서울특별시 노원구 공릉동 116,서울특별시 노원구 화랑로51나길 31,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-07-05,37.626250561,127.09060308,2021-09-15
B000002065,서울한천초등학교,초등학교,1984-05-07,공립,본교,운영,서울특별시 노원구 월계동 3-7,서울특별시 노원구 마들로 45,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-07-05,37.620709362,127.06924353,2021-09-15
B000002467,괴정초등학교,초등학교,1970-03-01,공립,본교,운영,부산광역시 사하구 괴정동 230,부산광역시 사하구 낙동대로 152,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.103763964,128.99975793,2021-09-15
B000003436,대전관저초등학교,초등학교,1997-10-02,공립,본교,운영,대전광역시 서구 관저동 992,대전광역시 서구 관저동로 161,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2021-07-05,36.306559242,127.33991145,2021-09-15
B000007725,무안초등학교,초등학교,1921-04-01,공립,본교,운영,경상남도 밀양시 무안면 무안리 927-1,경상남도 밀양시 무안면 사명로 531,9010000,경상남도교육청,9101000,경상남도밀양교육지원청,2013-11-29,2021-07-05,35.472928303,128.651293,2021-09-15
B000012181,영신고등학교,고등학교,1946-10-17,사립,본교,운영,대구광역시 동구 봉무동 524,대구광역시 동구 팔공로50길 32,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.92000422,128.64642402,2021-09-15
B000008256,방산중학교,중학교,1991-05-06,공립,본교,운영,서울특별시 송파구 방이동 220,서울특별시 송파구 오금로29길 31,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.509372874,127.12187561,2021-09-15
B000011200,하동중앙중학교,중학교,1961-05-01,공립,본교,운영,경상남도 하동군 하동읍 읍내리 667,경상남도 하동군 하동읍 연화길 77,9010000,경상남도교육청,9181000,경상남도하동교육지원청,2013-11-29,2021-07-05,35.076644464,127.74952762,2021-09-15
B000003402,신탄진초등학교,초등학교,1919-05-20,공립,본교,운영,대전광역시 대덕구 석봉동 308-7,대전광역시 대덕구 석봉로3번길 50,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2021-07-05,36.44898499,127.42250349,2021-09-15
B000002008,서울영림초등학교,초등학교,1982-10-04,공립,본교,운영,서울특별시 영등포구 대림동 993-16,서울특별시 영등포구 시흥대로173길 14,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2021-07-05,37.487346012,126.9025393,2021-09-15
B000002469,서천초등학교,초등학교,1985-03-01,공립,본교,운영,부산광역시 사하구 감천동 506-1,부산광역시 사하구 감천로105번길 10,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.088741561,129.0038498,2021-09-15
B000002848,대구관천초등학교,초등학교,1993-09-01,공립,본교,운영,대구광역시 북구 태전동 999-2,대구광역시 북구 구암로22길 17,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2013-11-29,2021-07-05,35.93053458,128.55204013,2021-09-15
B000003352,산내초등학교,초등학교,1920-06-20,공립,본교,운영,대전광역시 동구 낭월동 632,대전광역시 동구 산내로 1292,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2021-07-05,36.279798194,127.47006603,2021-09-15
B000002125,서울평화초등학교,초등학교,1992-10-21,공립,본교,운영,서울특별시 송파구 가락동 106,서울특별시 송파구 송파대로26길 22,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.491567122,127.12282366,2021-09-15
B000003362,대전성남초등학교,초등학교,1952-04-15,공립,본교,운영,대전광역시 동구 성남동 193-5,대전광역시 동구 성남로32번길 5,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2021-07-05,36.343944329,127.42936868,2021-09-15
B000012076,방산고등학교,고등학교,2003-09-30,공립,본교,운영,서울특별시 송파구 방이동 220-5,서울특별시 송파구 오금로27길 18,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.50831315,127.12046964,2021-09-15
B000008269,세륜중학교,중학교,1992-04-22,공립,본교,운영,서울특별시 송파구 오금동 7-3,서울특별시 송파구 양재대로72길 41,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.508933145,127.13124639,2021-09-15
B000003292,진남초등학교,초등학교,2007-11-26,공립,본교,운영,광주광역시 남구 노대동 732,광주광역시 남구 효우로60번길 12,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2021-07-05,35.109127217,126.90247209,2021-09-15
B000011099,관동중학교,중학교,2004-03-01,공립,본교,운영,경상남도 김해시 관동동 422-1,경상남도 김해시 덕정로 77,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2021-07-05,35.17976521,128.79263327,2021-09-15
B000013258,영양여자고등학교,고등학교,1974-01-05,사립,본교,운영,경상북도 영양군 영양읍 동부리 5,경상북도 영양군 영양읍 영양창수로 141,8750000,경상북도교육청,8891000,경상북도영양교육지원청,2013-11-29,2021-07-05,36.661888078,129.12976259,2021-09-15
B000009871,석천중학교,중학교,1969-10-04,공립,본교,운영,강원도 양구군 양구읍 정림리 230-1,강원도 양구군 양구읍 박수근로 327,7800000,강원도교육청,7951000,강원도양구교육지원청,2013-11-29,2021-07-05,38.100911395,127.98081971,2021-09-15
B000008631,기장중학교,중학교,1954-05-31,공립,본교,운영,부산광역시 기장군 기장읍 대라리 40,부산광역시 기장군 기장읍 읍내로 120,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2021-07-05,35.244881874,129.21831492,2021-09-15
B000009916,운호중학교,중학교,1968-03-06,사립,본교,운영,충청북도 청주시 서원구 모충동 132-13,충청북도 청주시 서원구 무심서로 375,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2021-07-05,36.625053173,127.48518682,2021-09-15
B000013541,문현고등학교,고등학교,2006-03-01,공립,본교,운영,울산광역시 동구 방어동 1008,울산광역시 동구 화잠7길 25,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2021-07-05,35.482395649,129.40918044,2021-09-15
B000010194,만리포중학교,중학교,1968-03-22,공립,본교,운영,충청남도 태안군 소원면 신덕리 631-2,충청남도 태안군 소원면 소근로 63-12,8140000,충청남도교육청,8281000,충청남도태안교육지원청,2013-11-29,2021-07-05,36.76552125,126.19393115,2021-09-15
B000022914,춘천여자고등학교,고등학교,1934-04-10,공립,본교,운영,강원도 춘천시 동면 장학리 173,강원도 춘천시 동면 만천양지길 95,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,2021-07-05,37.88848989,127.76354032,2021-09-15
B000008651,공산중학교,중학교,1954-04-19,사립,본교,운영,대구광역시 동구 백안동 560-5,대구광역시 동구 팔공로197길 26,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.955065857,128.69068379,2021-09-15
B000011923,상명대학교사범대학부속여자고등학교,고등학교,1967-03-07,사립,본교,운영,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2021-07-05,37.604108906,126.9551595,2021-09-15
B000012788,황지고등학교,고등학교,1966-03-15,공립,본교,운영,강원도 태백시 황지동 232,강원도 태백시 번영로 179,7800000,강원도교육청,7851000,강원도태백교육지원청,2013-11-29,2021-07-05,37.161120374,128.98556877,2021-09-15
B000002202,서울양원초등학교,초등학교,1991-05-06,공립,본교,운영,서울특별시 양천구 신월동 260-1,서울특별시 양천구 화곡로 16,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-07-05,37.538217328,126.82310522,2021-09-15
B000002433,보수초등학교,초등학교,1953-07-09,공립,본교,운영,부산광역시 중구 보수동1가 50-1,부산광역시 중구 흑교로 74,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.106072154,129.024219,2021-09-15
B000009849,계촌중학교,중학교,1969-03-12,공립,본교,운영,강원도 평창군 방림면 계촌리 2054-2,강원도 평창군 방림면 계촌길 139,7800000,강원도교육청,7911000,강원도평창교육지원청,2013-11-29,2021-07-05,37.453228674,128.3083929,2021-09-15
B000003174,양도초등학교,초등학교,1918-04-01,공립,본교,운영,인천광역시 강화군 양도면 삼흥리 288,인천광역시 강화군 양도면 강화남로 1036,7310000,인천광역시교육청,7351000,인천광역시강화교육지원청,2013-11-29,2021-07-05,37.68897162,126.41936954,2021-09-15
B000008385,남성중학교,중학교,1983-04-29,공립,본교,운영,서울특별시 동작구 사당동 304-45,서울특별시 동작구 남부순환로269길 166,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-07-05,37.479008224,126.972489,2021-09-15
B000004087,서해초등학교,초등학교,1996-11-01,공립,본교,운영,경기도 시흥시 정왕동 1867-2,경기도 시흥시 정왕대로53번길 14,7530000,경기도교육청,7781000,경기도시흥교육지원청,2013-11-29,2021-07-05,37.356122374,126.72513119,2021-09-15
B000008031,고산초등학교,초등학교,1945-05-01,공립,본교,운영,제주특별자치도 제주시 한경면 고산리 2684-1,제주특별자치도 제주시 한경면 고산로1길 16,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2013-11-29,2021-07-05,33.304526969,126.17687349,2021-09-15
B000025226,인천송일초등학교,초등학교,2015-09-01,공립,본교,운영,인천광역시 연수구 송도동 107,인천광역시 연수구 컨벤시아대로252번길 15,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2021-07-05,37.384188019,126.63513501,2021-09-15
B000025193,인천만월초등학교,초등학교,1989-03-01,공립,본교,운영,인천광역시 남동구 구월동 1521,인천광역시 남동구 선수촌로 28,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2021-07-05,37.441806616,126.71552075,2021-09-15
B000009263,대안여자중학교,중학교,1986-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 1233,경기도 안양시 동안구 흥안대로223번길 46,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2021-07-05,37.377159104,126.96510019,2021-09-15
B000009058,대전하기중학교,중학교,2006-03-01,공립,본교,운영,대전광역시 유성구 하기동 520,대전광역시 유성구 송림로48번길 6-30,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2021-07-05,36.385889073,127.32220494,2021-09-15
B000026215,목감고등학교,고등학교,2020-03-01,공립,본교,운영,경기도 시흥시 조남동 387,경기도 시흥시 목감둘레로 150,7530000,경기도교육청,7781000,경기도시흥교육지원청,2013-11-29,2021-07-05,37.372223393,126.85718343,2021-09-15
B000008529,남천중학교,중학교,1984-12-29,공립,본교,운영,부산광역시 남구 대연동 455-12,부산광역시 남구 황령대로492번길 71,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2021-07-05,35.136603589,129.10523413,2021-09-15
B000012085,정신여자고등학교,고등학교,1987-10-20,사립,본교,운영,서울특별시 송파구 잠실동 50-4,서울특별시 송파구 올림픽로4길 16,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-07-05,37.50945384,127.07384733,2021-09-15
B000008913,문화중학교,중학교,1984-03-08,공립,본교,운영,광주광역시 북구 우산동 118-4,광주광역시 북구 면앙로 111,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2013-11-29,2021-07-05,35.178466937,126.92391617,2021-09-15
B000011367,부산영상예술고등학교,고등학교,1955-04-25,공립,본교,운영,부산광역시 영도구 신선동3가 71-1,부산광역시 영도구 영상길 100,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.085136133,129.04491747,2021-09-15
B000011565,김화공업고등학교,고등학교,1968-12-03,공립,본교,운영,강원도 철원군 서면 와수리 589-5,강원도 철원군 서면 와수1로 72,7800000,강원도교육청,7931000,강원도철원교육지원청,2013-11-29,2021-07-05,38.243407564,127.4349464,2021-09-15
B000002850,대구태전초등학교,초등학교,1994-03-01,공립,본교,운영,대구광역시 북구 태전동 957,대구광역시 북구 칠곡중앙대로75길 16,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2013-11-29,2021-07-05,35.930245954,128.5460016,2021-09-15
B000012960,대흥고등학교,고등학교,1966-02-22,사립,본교,운영,충청남도 예산군 대흥면 상중리 231,충청남도 예산군 대흥면 예당로 845,8140000,충청남도교육청,8271000,충청남도예산교육지원청,2013-11-29,2021-07-05,36.605486561,126.79160559,2021-09-15
