사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
154571,2013099,1121510300,11215002  ,서울특별시 광진구2,서울특별시 광진구 구의동(광진우체국 부근),4,5,0,3,1,1,127.0896696,37.53909345,"{""type"":""Polygon"",""coordinates"":[[[127.0912698,37.5403676],[127.0909268,37.5405917],[127.0905356,37.5407583],[127.0901111,37.5408608],[127.0896696,37.5408954],[127.0892281,37.5408608],[127.0888036,37.5407583],[127.0884123,37.5405917],[127.0880694,37.5403676],[127.087788,37.5400946],[127.0875788,37.539783],[127.0874501,37.539445],[127.0874066,37.5390934],[127.0874501,37.5387419],[127.0875789,37.5384038],[127.087788,37.5380923],[127.0880694,37.5378192],[127.0884124,37.5375951],[127.0888036,37.5374286],[127.0892281,37.5373261],[127.0896696,37.5372914],[127.0901111,37.5373261],[127.0905356,37.5374286],[127.0909268,37.5375951],[127.0912697,37.5378192],[127.0915511,37.5380923],[127.0917603,37.5384038],[127.0918891,37.5387419],[127.0919325,37.5390934],[127.0918891,37.539445],[127.0917603,37.539783],[127.0915512,37.5400946],[127.0912698,37.5403676]]]}"
161603,2013099,1121510900,11215003  ,서울특별시 광진구3,서울특별시 광진구 군자동(흰돌교회 부근),4,5,0,4,1,0,127.0704363,37.55380754,"{""type"":""Polygon"",""coordinates"":[[[127.0720368,37.5550817],[127.0716938,37.5553058],[127.0713025,37.5554724],[127.0708779,37.5555749],[127.0704363,37.5556095],[127.0699947,37.5555749],[127.0695701,37.5554724],[127.0691788,37.5553058],[127.0688358,37.5550817],[127.0685543,37.5548087],[127.0683451,37.5544971],[127.0682163,37.5541591],[127.0681729,37.5538075],[127.0682164,37.553456],[127.0683452,37.5531179],[127.0685543,37.5528064],[127.0688358,37.5525333],[127.0691788,37.5523092],[127.0695701,37.5521427],[127.0699947,37.5520402],[127.0704363,37.5520055],[127.0708778,37.5520402],[127.0713024,37.5521427],[127.0716937,37.5523092],[127.0720367,37.5525333],[127.0723182,37.5528064],[127.0725274,37.5531179],[127.0726562,37.553456],[127.0726997,37.5538075],[127.0726562,37.5541591],[127.0725274,37.5544971],[127.0723183,37.5548087],[127.0720368,37.5550817]]]}"
161604,2013099,1121510500,11215004  ,서울특별시 광진구4,서울특별시 광진구 자양동(동부간선도로-강변북로램프(7) 부근),5,5,0,0,3,2,127.070697,37.53006007,"{""type"":""Polygon"",""coordinates"":[[[127.072297,37.5313343],[127.0719541,37.5315584],[127.0715629,37.5317249],[127.0711384,37.5318274],[127.070697,37.5318621],[127.0702556,37.5318274],[127.0698311,37.5317249],[127.0694399,37.5315584],[127.069097,37.5313343],[127.0688156,37.5310612],[127.0686065,37.5307496],[127.0684778,37.5304116],[127.0684343,37.53006],[127.0684778,37.5297085],[127.0686066,37.5293705],[127.0688157,37.5290589],[127.0690971,37.5287859],[127.0694399,37.5285618],[127.0698311,37.5283952],[127.0702556,37.5282927],[127.070697,37.5282581],[127.0711384,37.5282927],[127.0715629,37.5283952],[127.0719541,37.5285618],[127.0722969,37.5287859],[127.0725783,37.5290589],[127.0727874,37.5293705],[127.0729162,37.5297085],[127.0729597,37.53006],[127.0729162,37.5304116],[127.0727875,37.5307496],[127.0725784,37.5310612],[127.072297,37.5313343]]]}"
161605,2013099,1121510200,11215005  ,서울특별시 광진구5,서울특별시 광진구 능동(세종대학교 부근),5,5,0,1,1,3,127.0760212,37.55055304,"{""type"":""Polygon"",""coordinates"":[[[127.0776217,37.5518272],[127.0772787,37.5520513],[127.0768874,37.5522179],[127.0764628,37.5523204],[127.0760212,37.552355],[127.0755797,37.5523204],[127.0751551,37.5522179],[127.0747638,37.5520513],[127.0744208,37.5518272],[127.0741393,37.5515542],[127.0739302,37.5512426],[127.0738014,37.5509046],[127.0737579,37.550553],[127.0738014,37.5502015],[127.0739302,37.5498634],[127.0741394,37.5495519],[127.0744208,37.5492788],[127.0747638,37.5490547],[127.0751551,37.5488882],[127.0755797,37.5487857],[127.0760212,37.548751],[127.0764628,37.5487857],[127.0768873,37.5488882],[127.0772786,37.5490547],[127.0776216,37.5492788],[127.0779031,37.5495519],[127.0781122,37.5498634],[127.078241,37.5502015],[127.0782845,37.550553],[127.0782411,37.5509046],[127.0781123,37.5512426],[127.0779031,37.5515542],[127.0776217,37.5518272]]]}"
161601,2013099,1121510400,11215006  ,서울특별시 광진구6,서울특별시 광진구 광장동(올림픽대교진입고가차도(북측) 부근),5,5,0,3,1,1,127.0975092,37.54061991,"{""type"":""Polygon"",""coordinates"":[[[127.0991095,37.5418941],[127.0987665,37.5421182],[127.0983753,37.5422847],[127.0979507,37.5423873],[127.0975092,37.5424219],[127.0970677,37.5423873],[127.0966432,37.5422847],[127.096252,37.5421182],[127.095909,37.5418941],[127.0956276,37.541621],[127.0954185,37.5413095],[127.0952897,37.5409714],[127.0952462,37.5406199],[127.0952897,37.5402683],[127.0954185,37.5399303],[127.0956276,37.5396188],[127.0959091,37.5393457],[127.096252,37.5391216],[127.0966432,37.5389551],[127.0970678,37.5388525],[127.0975092,37.5388179],[127.0979507,37.5388525],[127.0983752,37.5389551],[127.0987665,37.5391216],[127.0991094,37.5393457],[127.0993909,37.5396188],[127.0996,37.5399303],[127.0997288,37.5402683],[127.0997723,37.5406199],[127.0997288,37.5409714],[127.0996,37.5413095],[127.0993909,37.541621],[127.0991095,37.5418941]]]}"
154572,2013099,1121510300,11215007  ,서울특별시 광진구7,서울특별시 광진구 구의동(자양사거리 부근),5,5,0,3,2,0,127.0837172,37.53645095,"{""type"":""Polygon"",""coordinates"":[[[127.0853173,37.5377251],[127.0849744,37.5379493],[127.0845832,37.5381158],[127.0841587,37.5382183],[127.0837172,37.538253],[127.0832757,37.5382183],[127.0828512,37.5381158],[127.08246,37.5379493],[127.0821171,37.5377251],[127.0818356,37.5374521],[127.0816265,37.5371405],[127.0814978,37.5368025],[127.0814543,37.5364509],[127.0814978,37.5360994],[127.0816266,37.5357613],[127.0818357,37.5354498],[127.0821171,37.5351767],[127.08246,37.5349526],[127.0828512,37.5347861],[127.0832757,37.5346836],[127.0837172,37.5346489],[127.0841587,37.5346836],[127.0845831,37.5347861],[127.0849744,37.5349526],[127.0853173,37.5351767],[127.0855987,37.5354498],[127.0858078,37.5357613],[127.0859366,37.5360994],[127.0859801,37.5364509],[127.0859366,37.5368025],[127.0858079,37.5371405],[127.0855987,37.5374521],[127.0853173,37.5377251]]]}"
154568,2013099,1121510500,11215008  ,서울특별시 광진구8,서울특별시 광진구 자양동(신양초교앞 부근),6,6,0,0,6,0,127.069063,37.53626889,"{""type"":""Polygon"",""coordinates"":[[[127.0706631,37.5375431],[127.0703202,37.5377672],[127.069929,37.5379337],[127.0695045,37.5380363],[127.069063,37.5380709],[127.0686215,37.5380363],[127.068197,37.5379337],[127.0678058,37.5377672],[127.0674629,37.5375431],[127.0671814,37.53727],[127.0669723,37.5369585],[127.0668436,37.5366204],[127.0668001,37.5362689],[127.0668436,37.5359173],[127.0669724,37.5355793],[127.0671815,37.5352677],[127.0674629,37.5349947],[127.0678058,37.5347706],[127.068197,37.5346041],[127.0686215,37.5345015],[127.069063,37.5344669],[127.0695044,37.5345015],[127.0699289,37.5346041],[127.0703202,37.5347706],[127.0706631,37.5349947],[127.0709445,37.5352677],[127.0711536,37.5355793],[127.0712824,37.5359173],[127.0713259,37.5362689],[127.0712824,37.5366204],[127.0711536,37.5369585],[127.0709445,37.53727],[127.0706631,37.5375431]]]}"
161607,2013099,1121510500,11215009  ,서울특별시 광진구9,서울특별시 광진구 자양동(신자초교입구 부근),6,6,0,2,2,2,127.0741092,37.53358524,"{""type"":""Polygon"",""coordinates"":[[[127.0757093,37.5348594],[127.0753664,37.5350835],[127.0749752,37.5352501],[127.0745507,37.5353526],[127.0741092,37.5353872],[127.0736677,37.5353526],[127.0732433,37.5352501],[127.072852,37.5350835],[127.0725091,37.5348594],[127.0722277,37.5345864],[127.0720186,37.5342748],[127.0718899,37.5339368],[127.0718464,37.5335852],[127.0718899,37.5332337],[127.0720187,37.5328956],[127.0722278,37.5325841],[127.0725092,37.532311],[127.0728521,37.5320869],[127.0732433,37.5319204],[127.0736678,37.5318179],[127.0741092,37.5317832],[127.0745506,37.5318179],[127.0749751,37.5319204],[127.0753663,37.5320869],[127.0757092,37.532311],[127.0759906,37.5325841],[127.0761997,37.5328956],[127.0763285,37.5332337],[127.076372,37.5335852],[127.0763285,37.5339368],[127.0761998,37.5342748],[127.0759907,37.5345864],[127.0757093,37.5348594]]]}"
161606,2013099,1121510500,11215010  ,서울특별시 광진구10,서울특별시 광진구 자양동(자양삼거리 부근),6,7,0,3,4,0,127.0777221,37.53731712,"{""type"":""Polygon"",""coordinates"":[[[127.0793222,37.5385913],[127.0789793,37.5388154],[127.0785881,37.538982],[127.0781635,37.5390845],[127.0777221,37.5391191],[127.0772806,37.5390845],[127.0768561,37.538982],[127.0764648,37.5388154],[127.0761219,37.5385913],[127.0758405,37.5383182],[127.0756314,37.5380067],[127.0755026,37.5376687],[127.0754591,37.5373171],[127.0755026,37.5369656],[127.0756314,37.5366275],[127.0758405,37.536316],[127.076122,37.5360429],[127.0764649,37.5358188],[127.0768561,37.5356523],[127.0772806,37.5355497],[127.0777221,37.5355151],[127.0781635,37.5355497],[127.078588,37.5356523],[127.0789792,37.5358188],[127.0793222,37.5360429],[127.0796036,37.536316],[127.0798127,37.5366275],[127.0799415,37.5369656],[127.079985,37.5373171],[127.0799415,37.5376687],[127.0798127,37.5380067],[127.0796036,37.5383182],[127.0793222,37.5385913]]]}"
154570,2013099,1121510300,11215011  ,서울특별시 광진구11,서울특별시 광진구 구의동(아차산역 부근),6,6,1,4,1,0,127.0907428,37.54935759,"{""type"":""Polygon"",""coordinates"":[[[127.0923432,37.5506318],[127.0920002,37.5508559],[127.0916089,37.5510224],[127.0911843,37.551125],[127.0907428,37.5511596],[127.0903012,37.551125],[127.0898766,37.5510224],[127.0894853,37.5508559],[127.0891423,37.5506318],[127.0888609,37.5503587],[127.0886517,37.5500472],[127.088523,37.5497091],[127.0884795,37.5493576],[127.088523,37.549006],[127.0886518,37.548668],[127.0888609,37.5483564],[127.0891424,37.5480834],[127.0894854,37.5478593],[127.0898767,37.5476928],[127.0903012,37.5475902],[127.0907428,37.5475556],[127.0911843,37.5475902],[127.0916089,37.5476928],[127.0920001,37.5478593],[127.0923431,37.5480834],[127.0926246,37.5483564],[127.0928337,37.548668],[127.0929625,37.549006],[127.093006,37.5493576],[127.0929626,37.5497091],[127.0928338,37.5500472],[127.0926246,37.5503587],[127.0923432,37.5506318]]]}"
154569,2013099,1121510900,11215012  ,서울특별시 광진구12,서울특별시 광진구 군자동(구의사거리 부근),7,7,0,1,5,1,127.0861419,37.54489404,"{""type"":""Polygon"",""coordinates"":[[[127.0877422,37.5461682],[127.0873993,37.5463923],[127.087008,37.5465589],[127.0865834,37.5466614],[127.0861419,37.546696],[127.0857004,37.5466614],[127.0852758,37.5465589],[127.0848846,37.5463923],[127.0845416,37.5461682],[127.0842602,37.5458952],[127.084051,37.5455836],[127.0839222,37.5452456],[127.0838788,37.544894],[127.0839223,37.5445425],[127.0840511,37.5442044],[127.0842602,37.5438929],[127.0845417,37.5436198],[127.0848846,37.5433957],[127.0852759,37.5432292],[127.0857004,37.5431267],[127.0861419,37.543092],[127.0865834,37.5431267],[127.087008,37.5432292],[127.0873992,37.5433957],[127.0877422,37.5436198],[127.0880236,37.5438929],[127.0882328,37.5442044],[127.0883616,37.5445425],[127.0884051,37.544894],[127.0883616,37.5452456],[127.0882328,37.5455836],[127.0880237,37.5458952],[127.0877422,37.5461682]]]}"
161609,2013099,1121510100,11215013  ,서울특별시 광진구13,서울특별시 광진구 중곡동(군자역 부근),7,7,0,4,3,0,127.0792431,37.55690588,"{""type"":""Polygon"",""coordinates"":[[[127.0808437,37.5581801],[127.0805007,37.5584042],[127.0801094,37.5585707],[127.0796847,37.5586732],[127.0792431,37.5587079],[127.0788015,37.5586732],[127.0783769,37.5585707],[127.0779856,37.5584042],[127.0776426,37.5581801],[127.0773611,37.557907],[127.0771519,37.5575955],[127.0770231,37.5572574],[127.0769796,37.5569059],[127.0770231,37.5565543],[127.0771519,37.5562163],[127.0773611,37.5559047],[127.0776426,37.5556317],[127.0779856,37.5554076],[127.078377,37.555241],[127.0788016,37.5551385],[127.0792431,37.5551039],[127.0796847,37.5551385],[127.0801093,37.555241],[127.0805007,37.5554076],[127.0808437,37.5556317],[127.0811252,37.5559047],[127.0813343,37.5562163],[127.0814631,37.5565543],[127.0815067,37.5569059],[127.0814632,37.5572574],[127.0813344,37.5575955],[127.0811252,37.557907],[127.0808437,37.5581801]]]}"
153936,2013099,1121510300,11215014  ,서울특별시 광진구14,서울특별시 광진구 구의동(결혼의집백악관 부근),7,7,0,6,1,0,127.0885475,37.55341077,"{""type"":""Polygon"",""coordinates"":[[[127.090148,37.554685],[127.089805,37.5549091],[127.0894137,37.5550756],[127.0889891,37.5551781],[127.0885475,37.5552128],[127.088106,37.5551781],[127.0876813,37.5550756],[127.08729,37.5549091],[127.086947,37.554685],[127.0866656,37.5544119],[127.0864564,37.5541003],[127.0863276,37.5537623],[127.0862841,37.5534108],[127.0863276,37.5530592],[127.0864564,37.5527212],[127.0866656,37.5524096],[127.0869471,37.5521366],[127.0872901,37.5519125],[127.0876814,37.5517459],[127.088106,37.5516434],[127.0885475,37.5516088],[127.0889891,37.5516434],[127.0894137,37.5517459],[127.089805,37.5519125],[127.090148,37.5521366],[127.0904295,37.5524096],[127.0906386,37.5527212],[127.0907674,37.5530592],[127.0908109,37.5534108],[127.0907675,37.5537623],[127.0906387,37.5541003],[127.0904295,37.5544119],[127.090148,37.554685]]]}"
161610,2013099,1121510500,11215015  ,서울특별시 광진구15,서울특별시 광진구 자양동(국민은행자양동지점 부근),8,8,0,4,1,3,127.0791584,37.53073695,"{""type"":""Polygon"",""coordinates"":[[[127.0807585,37.5320111],[127.0804156,37.5322353],[127.0800244,37.5324018],[127.0795999,37.5325043],[127.0791584,37.532539],[127.078717,37.5325043],[127.0782925,37.5324018],[127.0779013,37.5322353],[127.0775584,37.5320111],[127.077277,37.5317381],[127.0770679,37.5314265],[127.0769392,37.5310885],[127.0768957,37.5307369],[127.0769392,37.5303854],[127.077068,37.5300473],[127.0772771,37.5297358],[127.0775585,37.5294627],[127.0779014,37.5292386],[127.0782926,37.5290721],[127.078717,37.5289696],[127.0791584,37.5289349],[127.0795999,37.5289696],[127.0800243,37.5290721],[127.0804155,37.5292386],[127.0807584,37.5294627],[127.0810398,37.5297358],[127.0812489,37.5300473],[127.0813777,37.5303854],[127.0814212,37.5307369],[127.0813777,37.5310885],[127.0812489,37.5314265],[127.0810399,37.5317381],[127.0807585,37.5320111]]]}"
154565,2013099,1121510700,11215016  ,서울특별시 광진구16,서울특별시 광진구 화양동(건대입구역 부근),10,10,0,5,5,0,127.0710031,37.54050075,"{""type"":""Polygon"",""coordinates"":[[[127.0726034,37.5417749],[127.0722604,37.5419991],[127.0718692,37.5421656],[127.0714446,37.5422681],[127.0710031,37.5423028],[127.0705616,37.5422681],[127.0701371,37.5421656],[127.0697459,37.5419991],[127.0694029,37.5417749],[127.0691215,37.5415019],[127.0689124,37.5411903],[127.0687836,37.5408523],[127.0687401,37.5405007],[127.0687836,37.5401492],[127.0689124,37.5398111],[127.0691215,37.5394996],[127.069403,37.5392265],[127.0697459,37.5390024],[127.0701371,37.5388359],[127.0705617,37.5387334],[127.0710031,37.5386988],[127.0714446,37.5387334],[127.0718691,37.5388359],[127.0722604,37.5390024],[127.0726033,37.5392265],[127.0728847,37.5394996],[127.0730939,37.5398111],[127.0732227,37.5401492],[127.0732662,37.5405007],[127.0732227,37.5408523],[127.0730939,37.5411903],[127.0728848,37.5415019],[127.0726034,37.5417749]]]}"
162892,2013099,1123010600,11230001  ,서울특별시 동대문구1,서울특별시 동대문구 장안동(동부간선도로-천호대로램프(8) 부근),3,3,1,1,1,0,127.0746351,37.56602861,"{""type"":""Polygon"",""coordinates"":[[[127.0762359,37.5673028],[127.0758928,37.5675269],[127.0755014,37.5676934],[127.0750768,37.567796],[127.0746351,37.5678306],[127.0741935,37.567796],[127.0737688,37.5676934],[127.0733774,37.5675269],[127.0730343,37.5673028],[127.0727528,37.5670297],[127.0725436,37.5667182],[127.0724148,37.5663801],[127.0723713,37.5660286],[127.0724148,37.565677],[127.0725437,37.565339],[127.0727529,37.5650275],[127.0730344,37.5647544],[127.0733774,37.5645303],[127.0737688,37.5643638],[127.0741935,37.5642612],[127.0746351,37.5642266],[127.0750767,37.5642612],[127.0755014,37.5643638],[127.0758928,37.5645303],[127.0762358,37.5647544],[127.0765174,37.5650275],[127.0767266,37.565339],[127.0768554,37.565677],[127.0768989,37.5660286],[127.0768554,37.5663801],[127.0767266,37.5667182],[127.0765174,37.5670297],[127.0762359,37.5673028]]]}"
