코드,코드명
ZH4801,제1종자연경관지구
ZH4804,제2종수변경관지구
ZO7402,농수산업지구
ZL7501,주거환경보호지구
ZO1501,주거환경보호지구
UPE100,붕괴위험지역
TMP065,(임시)역사문화환경 보존지역
UQP501,복합용도지구
UQK121,중요시설물보호지구(공항)
UQK122,중요시설물보호지구(항만)
UQK123,중요시설물보호지구(공용)
UQN110,주거개발진흥지구
TMP062,(임시)역사문화환경 보존지구
TMP072,해양산업클러스터
ZH3104,제1종수변경관지구
ZL7903,농수산업지구
UNE442,비행안전 제2구역(비상)
UHH200,성장관리지역
TMP001,(임시)복합환승센터
TMP002,(임시)마리나항만구역
TMP003,(임시)예비항공기지의 비상활주로 제1구역
TMP004,(임시)예비항공기지의 비상활주로 제2구역
TMP005,(임시)예비항공기지의 비상활주로 제3구역
TMP016,(임시)공원문화유산지구
TMP035,(임시)역사문화환경 특별보존지구
TMP008,(임시)새만금사업지역
TMP009,(임시)산림보호구역
TMP010,(임시)수목원조성예정지
TMP011,(임시)시가지경관지구
TMP012,(임시)중심지미관지구
TMP013,(임시)역사문화미관지구
TMP014,(임시)일반미관지구
UBUILD,도시·군계획시설
UQS100,도로
UQN160,특정개발진흥지구
UJB400,홍수관리구역
UHA500,준산업단지
UGD100,절대보전무인도서
UQQ300,지구단위계획구역
UQQ310,제1종지구단위계획구역
UQQ320,제2종지구단위계획구역
UQQ500,수산자원보호구역
UQQ800,기반시설부담구역
UQQ900,개발행위허가제한지역
UQR400,도시·군계획시설의 부지
UBB200,개발촉진지구
UBH400,자유무역지역
UBJ100,지역특화발전특구
UFF100,초지
UFM110,임업용산지
UQL130,공용시설보호지구
UQL140,항만시설보호지구
UQM110,자연취락지구
UQM120,집단취락지구
UQN120,산업개발진흥지구
UQN130,유통개발진흥지구
UQN140,관광·휴양개발진흥지구
UQN150,복합개발진흥지구
ULB100,전원개발사업구역
UMF100,토양보전대책지역
UMN200,배출시설설치제한지역
UIG310,제1종구역
UIG400,공항소음피해예상지역
UBA100,과밀억제권역
UBA200,성장관리권역
UBC100,절대보전지역
UBC200,상대보전지역
UBC400,관리보전지역
UBG100,기업도시개발구역
UBH100,지하수자원특별관리구역
UBI100,경제자유구역
UBK100,주거구역
UBK110,전용주거구역
UBK200,상업구역
UBK300,녹지구역
UBK400,교육·연구 및 사업화시설구역
UBK500,산업시설구역
UBK600,연구개발특구
UBL100,지하수자원보전지구
UBM100,생태계보전지구
UBN100,경관보전지구
UBO100,예정지역
UBO200,주변지역
UBO300,개발행위허가 및 건축허가제한지역
UDP100,택지개발지구
UDT100,정비구역
ZI7802,숙박시설제한지구
ZM8901,주거환경보호지구
UMK600,(한강)폐기물매립시설 설치제한지역
ZN0015,문화지구
UBV100,해안권 및 내륙권 개발구역
UDL100,공공주택지구
TMP044,(임시)민북지역보전산지
TMP029,(임시)취약방재시설지구
UMW600,(영산강·섬진강)폐기물매립시설 설치제한지역
UNE416,비행안전 제6구역(전술)
TMP046,(임시)민북지역산지특별보호지역
ZM7804,제2종수변경관지구
ZP0009,시계관리지구
ZH3102,제1종자연경관지구
ZO8902,주거환경보호지구
ZO8903,농수산업지구
ZM8001,제1종자연경관지구
ZM8003,제1종수변경관지구
ZL7902,주거환경보호지구
UNE200,대공방어협조구역
UOK100,문화산업단지
UNE400,비행안전구역
UNE441,비행안전 제1구역(비상)
UNE424,비행안전 제4구역(지원)
UHA600,공장입지유도지구
UIG520,수평표면구역
UBS100,반환공여구역주변지역
UMY110,해양생물보호구역
UMY330,시·도해양경관보호구역
UNE111,통제보호구역(민통선이북 ： 10km)
UNE123,제한보호구역(폭발물관련：1km)
UNE126,제한보호구역(전기통신：2km)
TMP015,(임시)국토이용정보체계(KLIS)
ZA0012,4대문안
TMP017,(임시)친수구역
TMP032,(임시)소음대책지역
TMP022,(임시)국유림
TMP038,(임시)공항개발예정지역
TMP041,(임시)대회관련시설 설치·이용지역
TMP051,(임시)산지유전자원보호구역
UB1100,동계올림픽특별구역
TMP063,(임시)역사문화환경 보존지역
TMP066,(임시)역사문화환경 보존지역
TMP067,역사문화환경 보존지역
TMP069,(임시)시가지경관지구
TMP071,(임시)복합구역
UQQ901,입지규제최소구역
UIL100,마리나항만구역
UIB100,고속국도법상의접도구역
UBC310,지하수자원보전지구
UBC311,지하수자원보전지구(1등급)
UBC312,지하수자원보전지구(2등급)
UBC313,지하수자원보전지구(3등급)
UBC314,지하수자원보전지구(4등급)
UBC320,생태계보전지구
UBC321,생태계보전지구(1등급)
UBC322,생태계보전지구(2등급)
UBC323,생태계보전지구(3등급)
UBC324,생태계보전지구(4-1등급)
UBC325,생태계보전지구(4-2등급)
UBC326,생태계보전지구(5등급)
UBC330,경관보전지구
UBC331,경관보전지구(1등급)
UBC332,경관보전지구(2등급)
UBC333,경관보전지구(3등급)
UBC334,경관보전지구(4등급)
UBC335,경관보전지구(5등급)
UQT221,문화공원
ZM9102,주거환경보호지구
ZM8902,농수산업지구
UPG100,위험저수지·댐 정비지구
UBX100,신발전지역발전촉진지구
UNIM01,비행안전 제1구역
TMP053,(임시)어촌특화발전계획구역
TMP024,(임시)자연공원
TMP056,(임시)핵심관리구역
TMP060,(임시)역사문화환경 보존지역
TMP073,역사문화환경 보존지역
UQF131,시가지경관지구(중심)
UQF132,시가지경관지구(일반)
UBK501,산업육성구역
TMP026,(임시)유실위험지구
UBK502,산업지원구역
UFQ600,시험림
UNE112,통제보호구역(민통선이남：300m)
UQS101,일반도로
UQS102,자동차전용도로
UQS103,보행자전용도로
UQS104,자전거전용도로
UQS105,고가도로
UQS106,지하도로
UQS111,광로1류(폭 70m 이상)
UQS112,광로2류(폭 50m~70m)
UQS113,광로3류(폭 40m~50m)
UQS114,대로1류(폭 35m~40m)
UQS115,대로2류(폭 30m~35m)
UQS116,대로3류(폭 25m~30m)
UQS117,중로1류(폭 20m~25m)
UQS118,중로2류(폭 15m~20m)
UQS119,중로3류(폭 12m~15m)
UQS120,소로1류(폭 10m~12m)
UQS121,소로2류(폭 8m~10m)
UQS122,소로3류(폭 8m 미만)
UQS131,주간선도로
UQS132,보조간선도로
UQS133,집산도로
UQS134,국지도로
UQS141,도시고속도로
UQS142,특수도로(보행자전용도로)
UQS143,특수도로(자전거전용도로)
UQS190,기타도로시설
UQS200,주차장
UQS210,노외주차장
UQS290,기타주차장시설
UQS300,자동차정류장
UQS310,여객자동차터미널
UQS320,화물터미널
UQS330,공영차고지
UQS390,기타자동차정류장
UQS400,자동차및건설기계검사시설
UQS410,자동차검사시설
UQS420,건설기계검사소
UQS490,기타자동차및건설기계검사소
UQS500,철도
UQS510,일반철도
UQS520,도시철도
UQS530,고속철도
UQS540,국유철도사업시설
UQS549,기타철도시설
UQS550,궤도
UQS559,기타궤도시설
UQS560,삭도
UQS569,기타삭도시설
UQS600,운하
UQS610,기타운하시설
