코드,코드명
UNE122,제한보호구역(후방지역：500m)
UQF120,특화경관지구
UNE201,대공방어협조구역(위탁고도：54-236m)
TMP036,(임시)도시·주거환경정비기본계획을 공람중인 정비예정구역 및 정비계획을 수립중인 지역
TMP037,(임시)야생생물보호구역
TMP058,(임시)지역개발사업구역
UNE413,비행안전 제3구역(전술)
TMP027,(임시)해일위험지구
UGD300,이용가능무인도서
ZH3105,제2종수변경관지구
UQK110,역사문화환경보호지구
UNE124,제한보호구역(전술항공：5km)
TMP031,(임시)역사문화환경보존지역
UDJ100,도시ㆍ주거환경정비기본계획을 공람 중인 정비예정구역 및 정비계획을 수립 중인 지역
UFR110,생활환경보호구역
UFR120,수원함양보호구역
UFR130,경관보호구역
UFR140,재해방지보호구역
UFR150,산림유전자원보호구역
UOC800,역사문화환경 보존지역
UIM200,국가기간복합환승센터
UIM300,광역복합환승센터
UIM500,일반복합환승센터
UQY290,기타폐기물처리시설
UQY300,수질오염방지시설
UQY310,폐수종말처리시설
UQY320,폐수수탁처리업시설
UQY330,분뇨처리시설
UQY340,축산폐수공공처리시설
UQY350,폐광폐수처리시설
UQY390,기타수질오염방지시설
UQY400,폐차장
UQY490,기타폐차장시설
UQY999,기타환경기초시설
TMP505,(임시)댐 및 주변지역 친환경 활용 구역
TMP506,(임시)해양산업클러스터
ZB0008,일반경관지구
UQW101,운하
UQW109,기타운하시설
UQX800,장사시설
UQX805,국립묘지
UQX810,공설묘지
UQX815,사설묘지
UQX820,기타공동묘지시설
UQX825,공설화장시설
UQX830,사설화장시설
UQX835,기타화장시설
UQX840,장례식장
UQX845,기타장례식장시설
UQX850,봉안시설
UQX855,공설봉안시설
UQX860,사설봉안시설
UQX865,기타봉안시설
UQX870,공설자연장지
UQX875,법인등자연장지
UQV840,종합운동장
UQV850,기타운동장시설
UPF100,재해위험 개선사업지구
ZM7806,농수산업지구
UHL100,산업기술단지
TMP052,(임시)간척지활용사업구역
UMK500,(한강)폐수배출시설 설치제한지역
UNE113,통제보호구역(방공기지：500m)
ZA1101,원형보존지
TMP034,(임시)역사문화환경 보존육성지구
UQTEMP,용도별 건축물의 종류
TMP076,역사문화환경 보존지역
UFI200,수목원조성예정지
TMP019,(임시)역사문화미관지구
UGC200,핵심관리구역
TMP070,입지규제최소구역
UEF100,농업생산기반시설 및 주변지역 활용구역
UNE121,제한보호구역(전방지역：25km)
UNIM02,비행안전 제2구역
UNE440,비상활주로
UNE129,제한보호구역(방공기지：1km)
ZM7802,제2종자연경관지구
ZO8201,주거환경보호지구
UNIM05,비행안전 제5구역
UFQ500,산림유전자원보호림
UIM100,복합환승센터
UBY100,지역개발사업구역
TMP064,(임시)역사문화환경 보존지역
TMP500,(임시)산업복합구역
UNE420,지원항공작전기지
UNE431,비행안전 제1구역(헬기)
UNE128,제한보호구역(수역)
TMP018,(임시)중심지미관지구
UGC300,완충관리구역
ZH7301,여주군향토유적보호구역
ZH1501,의정부시향토유적보호구역
ZH4601,용인시향토유적보호구역
ZH4301,의왕시향토유적보호구역
ZH6501,포천시향토유적보호구역
ZH4501,하남시향토유적보호구역
ZI2101,농수산업지구
ZI8001,제2종자연경관지구
ZI7801,농업지구
ZJ7401,영동군향토유적보호구역
ZJ8001,단양군향토유적보호구역
ZJ8002,단양군전통사찰보존구역주변지역
ZJ7201,보은군전통사찰보존구역주변지역
ZJ7202,보은군자연경관보전지역
ZJ7402,증평군향토유적보호구역
ZJ7101,청원군향토유적보호구역
ZL7301,향토유적보호구역
ZL7401,자연경관보전지역
ZL7201,자연경관보전지역
ZL1401,자연경관보전지역
ZO0004,제2종수변경관지구
ZO0005,전통경관지구
ZO0006,조망권경관지구
ZO0007,숙박시설제한지구
ZO0008,위락시설제한지구
ZO0009,위험물저장및처리시설제한지구
ZP0001,전통경관지구
ZP0002,조망권경관지구
ZP0003,숙박시설제한지구
ZP0004,위락시설제한지구
ZP0005,위험물저장 및 처리시설제한지구
TMP025,(임시)침수위험지구
ZL8001,자연경관보전지역
ZL7901,자연경관보전지역
ZL1901,자연경관보전지역
ZL7101,자연경관보전지역
ZM9001,진도군향토유적보호구역
ZM9101,신안군향토유적보호구역
ZM1301,여수시향토유적보호구역
ZM7101,담양군향토유적보호구역
ZM8401,무안군향토유적보호구역
ZM7701,고흥군자연경관보전지역
ZM8101,강진군자연경관보전지역
ZN1101,수변및기타경관지구
ZN1901,구미시전통사찰보존구역주변지역
ZN2501,상주시자연경관보전지역
ZN2101,영주시전통사찰보존구역주변지역
ZN7701,영덕군자연경관보전지역
ZO8901,자연경관보전지역
ZH5702,김포시자연경관보전지역
UFQ100,산림정화보호구역
UFQ200,특수산림사업지구
UFK500,시험림구역
UNB110,전술항공작전기지
ZB3501,해운대구 컨벤션·영상·해양레저 특구
UNB120,지원항공작전기지
UIG411,가지구
UMA100,국립공원
UMA200,도립공원
UMA300,군립공원
UMA400,공원보호구역
UMB100,공원자연보존지구
UMB200,공원자연환경지구
ZJ0013,전통경관지구
ZM8004,제2종수변경관지구
ZM8005,주거환경보호지구
UMZ100,가축사육제한구역
UNE411,비행안전 제1구역(전술)
ZA0010,사고지
UIG600,장애물 제한표면
UHG100,벤처기업전용단지
ZA0009,학교이적지
TMP028,(임시)고립위험지구
UJG100,친수구역
ZM7801,제1종자연경관지구
UNE100,군사기지 및 군사시설 보호구역
UIL000,마리나항만구역미분류
TMP050,(임시)매장문화재유존지역
UPB210,침수위험지구
UPB220,유실위험지구
UPB230,고립위험지구
UPB240,붕괴위험지구
UPB250,해일위험지구
UPB260,취약방재시설지구
UQQ902,성장관리방안 수립지역
UEC700,공장 등 설립 제한 지역
UQJ200,시가지방재지구
UQJ300,자연방재지구
TMP900,(임시)세계유산지구
TMP901,(임시)세계유산 구역
TMP902,(임시)세계유산 완충구역
UQT251,수변공원
UNE130,제한보호구역(사격장 및 훈련장 : 1km)
UDV100,개발제한구역
UDW100,도시개발구역
UDX100,건축허가·착공제한지역
UDY100,국민임대주택단지예정지구
ZH0021,문화재보존영향검토대상구역
ZL0004,제2종수변경관지구
ZL0005,전통경관지구
ZL0006,조망권경관지구
ZL0007,숙박시설제한지구
ZL0008,위락시설제한지구
UBB500,특정지역
UQA210,중심상업지역
UQA220,일반상업지역
UQA230,근린상업지역
UQA240,유통상업지역
UQA300,공업지역
UQA310,전용공업지역
UQA400,녹지지역
UQA410,보전녹지지역
UQA420,생산녹지지역
UQA430,자연녹지지역
UQB100,계획관리지역
UQB200,생산관리지역
UQB300,보전관리지역
UQF110,자연경관지구
UQF130,시가지경관지구
UQG110,중심지미관지구
UQG120,역사문화미관지구
UQG130,일반미관지구
UQH110,최고고도지구
UQH120,최저고도지구
UQK120,중요시설물보호지구
UQK130,생태계보호지구
UQL110,공항시설보호지구
UQL120,학교시설보호지구
UHH300,자연보전지역
UFM120,공익용산지
ZI0005,위락시설제한지구
ZI0006,숙박시설제한지구
ZI0007,위험물저장및처리시설제한지구
ZM0007,농수산업지구
ZM0008,주거환경보호지구
ZM0009,제1종자연경관지구
ZM0010,제2종자연경관지구
ZM0011,제1종수변경관지구
ZM0012,제2종수변경관지구
ZO0011,농수산업지구
ZH0014,제1종자연경관지구
ZH0015,제2종자연경관지구
ZH0016,제1종수변경관지구
ZH0017,제2종수변경관지구
ZJ0009,제1종자연경관지구
ZJ0010,제2종자연경관지구
ZJ0011,제1종수변경관지구
ZJ0012,제2종수변경관지구
ZH6301,양주시향토유적보호구역
ZM9103,농수산업지구
UNE423,비행안전 제3구역(지원)
TMP020,(임시)일반미관지구
TMP049,(임시)원형보존존치지역
UQR100,일단의주택단지조성사업지역
UQR200,시가지조성사업지역
UQR300,일단의공업용지조성사업지역
ZB0005,도시계획시설이적지
ZD0007,사고지
TMP600,(임시)상습가뭄재해지구
TMP048,(임시)생태적산지전용지구
ZK0014,문화재보존영향 검토대상구역
ZL0001,제1종자연경관지구
ZL0002,제2종자연경관지구
ZL0003,제1종수변경관지구
ZO1502,농수산업지구
ZF0091,원도심권역
UPB200,자연재해위험개선지구
ZF0005,일반경관지구
ZF0006,위험물저장 및 처리시설제한지구
ZO0010,문화재보존영향 검토대상구역
ZN0005,전통경관지구
ZN0006,조망권경관지구
ZN0007,숙박시설제한지구
ZN0008,위락시설제한지구
ZN0009,위험물저장및처리시설제한지구
ZN0014,문화재보존영향 검토대상구역
ZO0001,제1종자연경관지구
ZO0002,제2종자연경관지구
ZO0003,제1종수변경관지구
ZP0010,문화재보존영향 검토대상구역
ZA0001,시계경관지구
ZA0002,문화재주변경관지구
ZA0003,조망경관지구
ZA0004,보행우선지구
ZA0005,사적건축물보전지구
ZB0004,문화재보존영향 검토대상구역
ZC0006,숙박시설제한지구
ZC0007,위락시설제한지구
