시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,lat,lon
수원시,수원출입국사무소.살구골공원.영통역3번출구,"Suwon Immigration Office, Sanggugol Park, Yeongtong Station Exit 3",203000135,4149,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2499,127.0735
수원시,수원컨벤션센터.롯데아울렛,"Suwon Convention Center, Lotte Outlet Mall",203000277,4274,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2866167,127.0577
수원시,수원컨벤션센터.롯데아울렛,"Suwon Convention Center, Lotte Outlet",203000276,4273,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2858833,127.0574333
수원시,수원터미널(경유),,277101935,,,,,37.2509333,127.0199
수원시,수원터미널(공항리무진버스),Suwon Terminal (Airport Limousine Bus),201000503,2936,,경기도 수원시,,37.2494667,127.0213333
수원시,수일남자중학교,Suil Boys' Middle School,200000340,1313,노변정류장,경기도 수원시,,37.30935,127.00215
수원시,수일남자중학교,Suil Boys' Middle School,200000341,1314,노변정류장,경기도 수원시,,37.3093333,127.0018333
수원시,수일여중,Suil Girls' Middle School,200000337,1310,노변정류장,경기도 수원시,,37.3068167,127.0069167
수원시,수일여중,Suil Girls' Middle School,200000308,1088,노변정류장,경기도 수원시,경기도 수원시 장안구 조원동,37.30715,127.0067
수원시,수일여중.대우건설기술연구원.경기도과학교육원,"Suil Girls' Middle School, Daewoo Institute of Construction Technology, Gyeonggi Institute of Science Education",200000079,1225,노변정류장,경기도 수원시,경기도 수원시 장안구 송죽동,37.3059667,127.0024667
수원시,수일여중.한빛현요양병원.경기도과학교육원,"Suil Girls' Middle School, Hanbit Hyun Hospital, Gyeonggi Institute of Science Education",200000195,1208,노변정류장,경기도 수원시,경기도 수원시 장안구 송죽동,37.3064667,127.0004167
수원시,수일중학교,Suil Middle School,200000078,1109,노변정류장,경기도 수원시,경기도 수원시 장안구 파장동,37.30715,126.9997333
수원시,숙지공원,Sukji Park,202000194,3269,노변정류장,경기도 수원시,,37.2838333,126.9969
